product,subset,column,dtype_hint
development,loans,cost_of_funds_proxy,float64
development,loans,discount_rate,float64
development,loans,grv_decline,float64
development,loans,fund_to_complete,int64
development,loans,workout_months,int64
development,loans,realised_lgd,float64
development,loans,industry_risk_score,float64
development,loans,industry_risk_level,object
development,cashflows,loan_id,int64
development,cashflows,product,object
development,cashflows,cashflow_date,datetime64[ns]
development,cashflows,days_from_default,int64
development,cashflows,cashflow_type,object
development,cashflows,cashflow_category,object
development,cashflows,amount,float64
development,cashflows,amount_pv,float64
cashflow_lending,loans,loan_id,int64
cashflow_lending,loans,product,object
cashflow_lending,loans,cashflow_product,object
cashflow_lending,loans,state,object
cashflow_lending,loans,industry,object
cashflow_lending,loans,annual_revenue,float64
cashflow_lending,loans,ebitda,float64
cashflow_lending,loans,ebitda_margin,float64
cashflow_lending,loans,leverage_ratio,float64
cashflow_lending,loans,dscr,float64
cashflow_lending,loans,bureau_score,int64
cashflow_lending,loans,fcf_margin,float64
cashflow_lending,loans,revenue_cagr,float64
cashflow_lending,loans,conduct_classification,object
cashflow_lending,loans,years_in_business,int32
cashflow_lending,loans,pd_estimate,float64
cashflow_lending,loans,pd_score_band,object
cashflow_lending,loans,facility_type,object
cashflow_lending,loans,facility_limit,float64
cashflow_lending,loans,drawn_balance,float64
cashflow_lending,loans,undrawn_amount,float64
cashflow_lending,loans,ccf,float64
cashflow_lending,loans,ead,float64
cashflow_lending,loans,seniority,object
cashflow_lending,loans,has_receivables_security,int64
cashflow_lending,loans,security_coverage_ratio,float64
cashflow_lending,loans,default_date,datetime64[ns]
cashflow_lending,loans,default_trigger,object
cashflow_lending,loans,contract_rate_proxy,float64
cashflow_lending,loans,cost_of_funds_proxy,float64
cashflow_lending,loans,discount_rate,float64
cashflow_lending,loans,resolution_strategy,object
cashflow_lending,loans,workout_months,int64
cashflow_lending,loans,realised_lgd,float64
cashflow_lending,loans,industry_risk_score,float64
cashflow_lending,loans,industry_risk_level,object
cashflow_lending,loans,industry_debt_to_ebitda_benchmark,float64
cashflow_lending,loans,industry_icr_benchmark,float64
cashflow_lending,cashflows,loan_id,int64
cashflow_lending,cashflows,product,object
cashflow_lending,cashflows,cashflow_date,datetime64[ns]
cashflow_lending,cashflows,days_from_default,int64
cashflow_lending,cashflows,cashflow_type,object
cashflow_lending,cashflows,cashflow_category,object
cashflow_lending,cashflows,amount,float64
cashflow_lending,cashflows,amount_pv,float64
