loan_id,product,state,development_type,industry,unit_count,tdc,grv,land_value,as_is_value,as_if_complete_value,facility_limit,ltc,lvr_as_if_complete,drawn_balance,capitalised_interest,ead,completion_pct,completion_stage,presale_coverage,presale_value,cost_to_complete,default_date,default_trigger,contract_rate_proxy,cost_of_funds_proxy,discount_rate,grv_decline,fund_to_complete,workout_months,realised_lgd,industry_risk_score,industry_risk_level,discount_rate_proxy_used,discount_rate_source,grv_driver,completion_pct_driver,cost_to_complete_driver,industry_recovery_haircut,lgd_industry_adjusted,lgd_base,macro_downturn_scalar,industry_downturn_adjustment,downturn_scalar,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,industry_moc,lgd_with_moc,cure_overlay_rate_proxy,liquidation_loss_proxy,lgd_after_cure_overlay_proxy,cure_overlay_applied_flag,cure_overlay_source,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band,slotting_score,slotting_category,slotting_rw
11,Development,ACT,Residential Houses/Lots,Construction,44,64340404.71,92905254.34,22829145.63,77778351.53,92905254.34,36316744.01,0.5644,0.3909,29765557.13,1063151.03,30828708.16,0.7706,Near-Complete,0.5436,50500406.76,15203903.4,2018-02-19,Pre-sale Shortfall,0.0797,0.0664,0.0797,0.1628,1,13,0.0,2.68,Medium,0.0797,max_contract_vs_cost_of_funds,92905254.34,0.7706,15203903.4,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.330527,1.0135,1.3484891145000002,1.3484891145000002,macro_plus_industry,v1.0,baseline,0.018339451957200006,0.05072,0.06905945195720001,0.145232,0.06905945195720001,0.05902980963055193,True,development_stage_presale_lvr_proxy,0.06905945195720001,development,Unknown,Near-Complete,NotApplicable,Residential Houses/Lots,Medium,9.0,Strong,0.7
12,Development,VIC,Residential Apartments,Construction,50,44603716.89,58730223.66,16035522.94,31493458.44,58730223.66,27233613.85,0.6106,0.4637,19285774.7,1168836.29,20454611.0,0.4636,Mid-Construction,0.4263,25038921.8,25287285.64,2023-02-05,Pre-sale Shortfall,0.0757,0.0743,0.0757,0.4638,1,24,0.075722,2.68,Medium,0.0757,max_contract_vs_cost_of_funds,58730223.66,0.4636,25287285.64,0.013600000000000003,0.089322,0.089322,1.6930290000000001,1.0135,1.7158848915000002,1.7158848915000002,macro_plus_industry,v1.0,baseline,0.15326627027856302,0.05072,0.20398627027856303,0.08,0.20398627027856303,0.187667368656278,True,development_stage_presale_lvr_proxy,0.20398627027856303,development,Unknown,Mid-Construction,NotApplicable,Residential Apartments,Medium,7.0,Good,0.9
13,Development,VIC,Residential Apartments,Construction,93,5564131.45,6594823.83,2159368.79,2438265.77,6594823.83,4289420.89,0.7709,0.6504,1936166.53,145215.13,2081381.67,0.1389,Early Construction,0.5423,3576385.11,4883670.55,2021-10-23,Builder Insolvency,0.0809,0.0775,0.0809,0.6,1,29,0.845345,2.68,Medium,0.0809,max_contract_vs_cost_of_funds,6594823.83,0.1389,4883670.55,0.013600000000000003,0.8589450000000001,0.8589450000000001,1.7291666666666665,1.0135,1.7525104166666667,1.7525104166666667,macro_plus_industry,v1.0,baseline,1.50531005984375,0.05072,1.5560300598437502,0.055076,1.0,0.944924,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,4.0,Satisfactory,1.15
14,Development,NSW,Residential Apartments,Construction,41,55283138.17,79532767.75,23480305.62,29404818.42,79532767.75,41448390.43,0.7497,0.5211,24765744.83,1538853.91,26304598.74,0.1791,Early Construction,0.4617,36724016.81,41497515.23,2019-04-21,Cost Overrun,0.0877,0.059,0.0877,0.6,0,9,0.517903,2.68,Medium,0.0877,max_contract_vs_cost_of_funds,79532767.75,0.1791,41497515.23,0.013600000000000003,0.5315030000000001,0.5315030000000001,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,0.8820857006937503,0.05072,0.9328057006937502,0.05,0.9328057006937502,0.8861654156590627,True,development_stage_presale_lvr_proxy,0.9328057006937502,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,6.0,Satisfactory,1.15
15,Development,NSW,Commercial Office,Professional Services,8,33809849.19,41437926.69,10192288.03,37469681.77,41437926.69,23560045.4,0.6968,0.5686,22010512.53,1060010.49,23070523.02,0.9765,Complete Unsold,0.7505,31098912.28,859978.61,2020-12-27,Builder Insolvency,0.0777,0.0779,0.0779,0.0958,0,8,0.0,2.18,Medium,0.0779,max_contract_vs_cost_of_funds,41437926.69,0.9765,859978.61,0.0036000000000000034,0.0036000000000000034,0.0036000000000000034,1.2514188233272538,0.976,1.2213847715673998,1.2213847715673998,macro_plus_industry,v1.0,baseline,0.004396985177642644,0.048720000000000006,0.05311698517764265,0.13006,0.05311698517764265,0.04620859008543844,True,development_stage_presale_lvr_proxy,0.05311698517764265,development,Unknown,Complete Unsold,NotApplicable,Commercial Office,Low,9.0,Strong,0.7
16,Development,TAS,Mixed-Use,Construction,56,43247527.65,57962784.96,12488431.96,12566703.02,57962784.96,28919946.28,0.6687,0.4989,15380714.09,519513.15,15900227.24,0.0037,Early Construction,0.5525,32023730.51,42907233.22,2018-04-06,Pre-sale Shortfall,0.0896,0.0777,0.0896,0.6,0,23,0.682435,2.68,Medium,0.0896,max_contract_vs_cost_of_funds,57962784.96,0.0037,42907233.22,0.013600000000000003,0.6960350000000001,0.6960350000000001,1.679166666666667,1.0135,1.701835416666667,1.701835416666667,macro_plus_industry,v1.0,baseline,1.1845370142395837,0.05072,1.2352570142395838,0.0563,1.0,0.9437,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Mixed-Use,Medium,6.0,Satisfactory,1.15
17,Development,TAS,Mixed-Use,Construction,101,51792476.5,62068250.3,18861648.65,30718470.33,62068250.3,29823768.23,0.5758,0.4805,19141757.42,978705.84,20120463.26,0.522,Mid-Construction,0.404,25075340.05,22485086.78,2021-01-11,Interest Reserve Exhausted,0.0781,0.0635,0.0781,0.5051,0,18,0.367365,2.68,Medium,0.0781,max_contract_vs_cost_of_funds,62068250.3,0.522,22485086.78,0.013600000000000003,0.380965,0.380965,1.6598205000000001,1.0135,1.6822280767500002,1.6822280767500002,macro_plus_industry,v1.0,baseline,0.6408700192590638,0.05072,0.6915900192590638,0.08,0.6915900192590638,0.6362628177183387,True,development_stage_presale_lvr_proxy,0.6915900192590638,development,Unknown,Mid-Construction,NotApplicable,Mixed-Use,Medium,7.0,Good,0.9
18,Development,SA,Residential Apartments,Construction,100,47647577.86,71286688.65,14457132.37,28259242.6,71286688.65,29630725.29,0.6219,0.4157,23331963.7,1794911.74,25126875.44,0.4063,Mid-Construction,0.7127,50803676.34,31326730.64,2022-02-23,Interest Reserve Exhausted,0.0964,0.067,0.0964,0.6,1,19,0.0,2.68,Medium,0.0964,max_contract_vs_cost_of_funds,71286688.65,0.4063,31326730.64,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.7116666666666667,1.0135,1.7347741666666667,1.7347741666666667,macro_plus_industry,v1.0,baseline,0.023592928666666672,0.05072,0.07431292866666667,0.105524,0.07431292866666667,0.06647113118204534,True,development_stage_presale_lvr_proxy,0.07431292866666667,development,Unknown,Mid-Construction,NotApplicable,Residential Apartments,Medium,8.0,Good,0.9
19,Development,QLD,Residential Houses/Lots,Construction,47,57966524.31,90889694.67,16706011.08,18648900.92,90889694.67,40140574.74,0.6925,0.4416,24064584.89,1863134.18,25927719.07,0.0412,Early Construction,0.6054,55026187.96,50681942.25,2023-04-22,90 DPD,0.0762,0.0733,0.0762,0.6,0,18,0.6921,2.68,Medium,0.0762,max_contract_vs_cost_of_funds,90889694.67,0.0412,50681942.25,0.013600000000000003,0.7057000000000001,0.7057000000000001,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,1.1711841306250004,0.05072,1.2219041306250005,0.06264800000000001,1.0,0.937352,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Houses/Lots,Medium,7.0,Good,0.9
20,Development,NSW,Commercial Office,Professional Services,6,11021777.7,15915866.54,4419384.83,9723585.43,15915866.54,7324730.05,0.6646,0.4602,4785857.5,180336.51,4966194.01,0.6994,Mid-Construction,0.7012,11160756.28,3789471.24,2021-01-10,Builder Insolvency,0.0957,0.0766,0.0957,0.3891,0,20,0.0,2.18,Medium,0.0957,max_contract_vs_cost_of_funds,15915866.54,0.6994,3789471.24,0.0036000000000000034,0.0036000000000000034,0.0036000000000000034,1.6243738333333335,0.976,1.5853888613333336,1.5853888613333336,macro_plus_industry,v1.0,baseline,0.005707399900800006,0.048720000000000006,0.05442739990080001,0.10414400000000001,0.05442739990080001,0.0487591127655311,True,development_stage_presale_lvr_proxy,0.05442739990080001,development,Unknown,Mid-Construction,NotApplicable,Commercial Office,Low,9.0,Strong,0.7
21,Development,QLD,Industrial,Manufacturing,5,45046329.97,54156541.28,12373202.77,47974173.19,54156541.28,32827750.51,0.7288,0.6062,32698639.99,1502395.35,34201035.34,1.0,Complete Unsold,0.9347,50617513.69,0.0,2018-06-26,Cost Overrun,0.0867,0.0811,0.0867,0.1142,0,13,0.0,3.5,Elevated,0.0867,max_contract_vs_cost_of_funds,54156541.28,1.0,0.0,0.03,0.03,0.03,1.247964,1.075,1.3415613,1.3415613,macro_plus_industry,v1.0,baseline,0.040246839,0.054000000000000006,0.094246839,0.152164,0.094246839,0.079905862990404,True,development_stage_presale_lvr_proxy,0.094246839,development,Unknown,Complete Unsold,NotApplicable,Industrial,Elevated,8.0,Good,0.9
22,Development,NSW,Commercial Office,Professional Services,2,18477256.33,24422847.08,5514577.62,6188127.49,24422847.08,12290353.22,0.6652,0.5032,6369018.74,216020.35,6585039.09,0.0726,Early Construction,0.2476,6046499.4,17028847.49,2019-10-02,Builder Insolvency,0.0945,0.0799,0.0945,0.6,1,21,1.163027,2.18,Medium,0.0945,max_contract_vs_cost_of_funds,24422847.08,0.0726,17028847.49,0.0036000000000000034,1.166627,1.0,1.6625,0.976,1.6226,1.6226,macro_plus_industry,v1.0,baseline,1.6226,0.048720000000000006,1.6713200000000001,0.05,1.0,0.95,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Commercial Office,Low,6.0,Satisfactory,1.15
23,Development,VIC,Industrial,Manufacturing,3,54901895.72,84469330.97,16900318.78,68451752.68,84469330.97,31660773.78,0.5767,0.3748,28391467.28,1992652.23,30384119.51,0.9341,Near-Complete,0.8673,73261497.84,3391709.96,2022-01-30,90 DPD,0.0765,0.0784,0.0784,0.1896,1,7,0.0,3.5,Elevated,0.0784,max_contract_vs_cost_of_funds,84469330.97,0.9341,3391709.96,0.03,0.03,0.03,1.2584069692624158,1.075,1.352787491957097,1.352787491957097,macro_plus_industry,v1.0,baseline,0.04058362475871291,0.054000000000000006,0.09458362475871292,0.18407600000000002,0.09458362475871292,0.07717304944762808,True,development_stage_presale_lvr_proxy,0.09458362475871292,development,Unknown,Near-Complete,NotApplicable,Industrial,Elevated,10.0,Strong,0.7
24,Development,WA,Residential Apartments,Construction,81,76678041.84,93475708.74,29686860.72,34542815.32,93475708.74,57272258.45,0.7469,0.6127,32969400.39,1281074.61,34250475.0,0.1674,Early Construction,0.5076,47448111.14,70604686.61,2021-06-12,Cost Overrun,0.086,0.0701,0.086,0.6,0,11,0.560869,2.68,Medium,0.086,max_contract_vs_cost_of_funds,93475708.74,0.1674,70604686.61,0.013600000000000003,0.574469,0.574469,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,0.9533923428312502,0.05072,1.0041123428312502,0.050912000000000006,1.0,0.949088,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,5.0,Satisfactory,1.15
25,Development,NSW,Residential Houses/Lots,Construction,10,39955269.2,47514755.88,17540677.83,18288136.74,47514755.88,30702049.54,0.7684,0.6462,16580049.52,738479.38,17318528.91,0.0596,Early Construction,0.5612,26664931.23,42667811.85,2021-04-22,90 DPD,0.1005,0.0699,0.1005,0.6,0,14,0.585157,2.68,Medium,0.1005,max_contract_vs_cost_of_funds,47514755.88,0.0596,42667811.85,0.013600000000000003,0.5987570000000001,0.5987570000000001,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,0.9937008594312504,0.05072,1.0444208594312505,0.057344000000000006,1.0,0.9426559999999999,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Houses/Lots,Medium,5.0,Satisfactory,1.15
26,Development,QLD,Residential Houses/Lots,Construction,37,19161878.54,27357675.09,6354538.71,21369193.3,27357675.09,11762092.67,0.6138,0.4299,10487946.07,543608.44,11031554.52,0.7211,Near-Complete,0.5319,14551408.0,5199138.23,2020-01-22,Builder Insolvency,0.0885,0.0775,0.0885,0.2189,1,12,0.0,2.68,Medium,0.0885,max_contract_vs_cost_of_funds,27357675.09,0.7211,5199138.23,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.35310725,1.0135,1.3713741978750003,1.3713741978750003,macro_plus_industry,v1.0,baseline,0.018650689091100008,0.05072,0.0693706890911,0.143828,0.0693706890911,0.059393241620505265,True,development_stage_presale_lvr_proxy,0.0693706890911,development,Unknown,Near-Complete,NotApplicable,Residential Houses/Lots,Medium,9.0,Strong,0.7
27,Development,WA,Residential Houses/Lots,Construction,16,28103858.06,43718140.1,8568796.61,12303900.6,43718140.1,21386210.42,0.761,0.4892,9421461.69,462891.48,9884353.17,0.1603,Early Construction,0.6516,28485155.97,23372330.8,2022-06-10,Interest Reserve Exhausted,0.0923,0.0841,0.0923,0.6,0,15,0.266536,2.68,Medium,0.0923,max_contract_vs_cost_of_funds,43718140.1,0.1603,23372330.8,0.013600000000000003,0.280136,0.280136,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,0.4649154564500001,0.05072,0.5156354564500001,0.068192,0.5156354564500001,0.4804732434037617,True,development_stage_presale_lvr_proxy,0.5156354564500001,development,Unknown,Early Construction,NotApplicable,Residential Houses/Lots,Medium,7.0,Good,0.9
28,Development,NSW,Commercial Office,Professional Services,5,60902035.79,93341900.49,23997995.82,86885176.04,93341900.49,44829748.03,0.7361,0.4803,43597575.07,2100595.22,45698170.28,0.9825,Complete Unsold,0.9489,88569898.77,1015823.44,2018-03-07,Pre-sale Shortfall,0.0871,0.0636,0.0871,0.0692,0,16,0.0,2.18,Medium,0.0871,max_contract_vs_cost_of_funds,93341900.49,0.9825,1015823.44,0.0036000000000000034,0.0036000000000000034,0.0036000000000000034,1.2357326922065535,0.9760000000000001,1.2060751075935963,1.2060751075935963,macro_plus_industry,v1.0,baseline,0.004341870387336951,0.048720000000000006,0.05306187038733696,0.153868,0.05306187038733696,0.0448973465145782,True,development_stage_presale_lvr_proxy,0.05306187038733696,development,Unknown,Complete Unsold,NotApplicable,Commercial Office,Low,11.0,Strong,0.7
29,Development,VIC,Residential Houses/Lots,Construction,27,15530410.94,22995029.84,5506594.26,20488929.99,22995029.84,11494771.38,0.7401,0.4999,9867345.81,595345.39,10462691.2,0.7003,Near-Complete,0.5971,13730593.28,4407151.08,2020-02-29,Builder Insolvency,0.0964,0.0819,0.0964,0.109,1,21,0.0,2.68,Medium,0.0964,max_contract_vs_cost_of_funds,22995029.84,0.7003,4407151.08,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.3318725,1.0135,1.34985277875,1.34985277875,macro_plus_industry,v1.0,baseline,0.018357997791000006,0.05072,0.069077997791,0.151652,0.069077997791,0.05860218126999927,True,development_stage_presale_lvr_proxy,0.069077997791,development,Unknown,Near-Complete,NotApplicable,Residential Houses/Lots,Medium,9.0,Strong,0.7
30,Development,NSW,Residential Houses/Lots,Construction,55,73675686.98,84868195.55,32996735.5,48583315.58,84868195.55,55553009.49,0.754,0.6546,39072557.6,1690814.08,40763371.68,0.4221,Mid-Construction,0.8649,73399903.11,45845669.35,2023-05-10,Cost Overrun,0.0877,0.0755,0.0877,0.4275,1,20,0.601802,2.68,Medium,0.0877,max_contract_vs_cost_of_funds,84868195.55,0.4221,45845669.35,0.013600000000000003,0.615402,0.615402,1.6418458333333334,1.0135,1.6640107520833336,1.6640107520833336,macro_plus_industry,v1.0,baseline,1.0240355448535876,0.05072,1.0747555448535877,0.12378800000000001,1.0,0.876212,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Mid-Construction,NotApplicable,Residential Houses/Lots,Medium,7.0,Good,0.9
31,Development,NSW,Residential Houses/Lots,Construction,51,35552492.7,48500938.9,12012523.23,38608682.06,48500938.9,22570252.56,0.6348,0.4654,20076310.99,937980.81,21014291.8,0.7406,Near-Complete,0.7148,34668724.44,8759845.45,2024-03-07,Builder Insolvency,0.0829,0.0791,0.0829,0.204,1,13,0.0,2.68,Medium,0.0829,max_contract_vs_cost_of_funds,48500938.9,0.7406,8759845.45,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.3471099999999998,1.0135,1.365295985,1.365295985,macro_plus_industry,v1.0,baseline,0.018568025396000002,0.05072,0.069288025396,0.165776,0.069288025396,0.057801733697952704,True,development_stage_presale_lvr_proxy,0.069288025396,development,Unknown,Near-Complete,NotApplicable,Residential Houses/Lots,Medium,10.0,Strong,0.7
32,Development,NSW,Industrial,Manufacturing,3,35855883.85,47796479.54,10271371.71,21697658.81,47796479.54,27067125.51,0.7549,0.5663,18729365.85,1043230.75,19772596.61,0.3886,Mid-Construction,0.4082,19510603.39,22919170.8,2021-12-26,Cost Overrun,0.0818,0.0662,0.0818,0.546,0,9,0.458751,3.5,Elevated,0.0818,max_contract_vs_cost_of_funds,47796479.54,0.3886,22919170.8,0.03,0.48875100000000005,0.48875100000000005,1.6784300000000003,1.075,1.8043122500000002,1.8043122500000002,macro_plus_industry,v1.0,baseline,0.8818594164997502,0.054000000000000006,0.9358594164997502,0.08,0.9358594164997502,0.8609906631797702,True,development_stage_presale_lvr_proxy,0.9358594164997502,development,Unknown,Mid-Construction,NotApplicable,Industrial,Elevated,5.0,Satisfactory,1.15
33,Development,NSW,Residential Apartments,Construction,45,55195125.62,71814969.36,15085244.25,33461594.15,71814969.36,37341237.73,0.6765,0.52,23019114.3,840539.04,23859653.34,0.4495,Mid-Construction,0.5479,39348710.33,29178505.7,2018-06-24,90 DPD,0.0849,0.0825,0.0849,0.5341,0,15,0.294786,2.68,Medium,0.0849,max_contract_vs_cost_of_funds,71814969.36,0.4495,29178505.7,0.013600000000000003,0.308386,0.308386,1.6730155000000002,1.0135,1.6956012092500004,1.6956012092500004,macro_plus_industry,v1.0,baseline,0.5228996745157706,0.05072,0.5736196745157706,0.085748,0.5736196745157706,0.5244329346653922,True,development_stage_presale_lvr_proxy,0.5736196745157706,development,Unknown,Mid-Construction,NotApplicable,Residential Apartments,Medium,7.0,Good,0.9
