loan_id,facility_type,security_type,industry,industry_risk_bucket,drawn_balance,undrawn_amount,ead,ead_base,ead_downturn,gross_receivables_balance,eligible_receivables_balance,ineligible_receivables_pct,debtor_concentration_pct,ageing_over_90d_pct,dilution_pct,collections_control_score,lockbox_sweep_flag,advance_rate,time_to_collect_days,time_to_collect_days_downturn,concentration_band,ageing_band,advance_rate_band,realised_lgd,lgd_base_economic,lgd_downturn,lgd_final_regulatory
61,Revolving Credit,PPSR - Mixed,Education & Training,Medium,3293477.28,2076031.44,4777193.01,3861354.1638660366,3552890.5895964573,7159982.240691321,5430677.839094036,0.24152356017999205,0.3665479859139129,0.25035593070643725,0.17587983686912914,0.46153471362755477,0,0.7368576003647984,96.52038635362739,124.90417371715675,25-40%,25%+,70-80%,0.877488,0.99,1.0,1.0
69,Revolving Credit,PPSR - Mixed,Wholesale Trade,Elevated,3263656.05,1281174.26,4089776.37,3882377.717719714,3441145.207784004,7321014.547941029,5451759.191322182,0.2553273654051894,0.7690422596926351,0.291985161292252,0.1461178819584248,0.34300584621328134,0,0.727081301842333,101.0472662224764,130.52168576621918,60%+,25%+,70-80%,0.830868,0.99,1.0,1.0
73,Term Loan,PPSR - Receivables,Agriculture,Elevated,1379184.04,132416.97,1511601.01,1379184.04,1455680.1277748353,2160953.84050919,1682972.5410096487,0.2211899627559438,0.7284569435247593,0.19045592892997842,0.1821580866233358,0.5124194304244067,0,0.7511037906154377,83.32031390831197,107.86419931931083,60%+,15-25%,70-80%,0.748472,0.9584270151553191,1.0,1.0
74,Revolving Credit,PPSR - Mixed,Accommodation & Food,Medium,864087.13,338612.56,1049673.81,1015749.5111109423,936771.8375043463,1806959.888941625,1381949.2717822462,0.23520755483306077,0.5095975532723638,0.2282808519737963,0.12056810095182567,0.6102314396127256,0,0.7630343294321135,69.12684574552154,89.14912195557376,40-60%,15-25%,70-80%,0.643319,0.7964403530555842,0.9019593246597145,0.9369593246597145
76,Overdraft,PPSR - Mixed,Professional Services,Medium,1186688.19,394736.79,1492676.49,1403080.8281632224,1310477.8041244703,2292404.027356535,1893422.8594248379,0.17404487305485092,0.4684867991583671,0.16503476309354098,0.15755235556860483,0.5445278447837425,0,0.7691983152906667,63.89036427089799,82.58495245787073,40-60%,15-25%,70-80%,0.896814,0.99,1.0,1.0
77,Revolving Credit,PPSR - Mixed,Professional Services,Medium,4939498.48,897272.97,5398541.23,4939498.48,4949755.019090318,6747353.711847256,5820038.289864542,0.1374339424883713,0.32586076121965407,0.08311282666115857,0.06921444307113808,0.5953663606026093,0,0.7968797493370423,81.74198099950456,96.90815563464837,25-40%,8-15%,70-80%,0.644733,0.7617639931479333,0.8304870810003383,0.8554870810003383
86,Overdraft,PPSR - Mixed,Professional Services,Medium,5470769.09,505816.45,5971559.49,6386303.042849552,6171647.194389632,10262660.623501217,9140606.168140287,0.10933368027307222,0.2592363538696461,0.0901112671886211,0.005,0.6850338771768247,1,0.8233013824504088,59.788191002169874,70.57398065896132,25-40%,8-15%,80%+,0.941468,0.99,1.0,1.0
87,Revolving Credit,PPSR - Receivables,Retail Trade,Elevated,1525168.02,1401216.7,2473987.52,1791280.2626064487,1608401.2885909525,3219343.5707663223,2351679.252586134,0.26951591189555835,0.7316807433332325,0.23290788213249466,0.15243932689139966,0.3267252543248843,0,0.7769958777273486,99.0753236683598,128.02465234762474,60%+,15-25%,70-80%,0.893748,0.99,1.0,1.0
92,Term Loan,PPSR - Receivables,Agriculture,Elevated,1686824.29,344109.84,2030934.13,1929491.5941719916,1778099.346821265,3218449.763579814,2558491.4775529094,0.2050547109652092,0.718593615864939,0.26848583330047815,0.13701965210348166,0.5588698089107873,0,0.7725969564478166,78.16164022152076,100.90367394362579,60%+,25%+,70-80%,0.480905,0.6860619920808975,0.79044767522045,0.82544767522045
103,Term Loan,PPSR - Receivables,Accommodation & Food,Medium,3785076.09,713360.7,4498436.8,3785076.09,3988528.6274290443,5956010.19965237,4601697.436933208,0.22738590387205987,0.5821987465682849,0.21661321975732484,0.12504136941532695,0.4758401753216933,0,0.7501444803801006,73.68644743979968,95.05576106656143,40-60%,15-25%,70-80%,0.588666,0.7636668555450267,0.8767686603063223,0.9117686603063223
108,Overdraft,PPSR - Mixed,Mining,Elevated,1264878.18,457194.49,1635889.82,1651349.8645108768,1509049.8934755095,3104523.449285143,2283445.7406607424,0.26447785691986464,0.6084785474127077,0.2397288423809265,0.1618320098184226,0.46363495950544653,0,0.7559461598313214,99.00879498758663,128.01308096671417,60%+,15-25%,70-80%,0.778305,0.99,1.0,1.0
113,Overdraft,PPSR - Mixed,Manufacturing,Elevated,7152425.64,1338761.44,8407498.64,7152425.64,7545167.987451637,11379922.01724188,8990002.538733168,0.21001193812116745,0.6299226158610114,0.24812072690225137,0.16367904269763606,0.4178282978306639,0,0.7771527313490089,80.81737089455052,104.50448353713347,60%+,15-25%,70-80%,0.679471,0.8922917153923529,1.0,1.0
114,Revolving Credit,PPSR - Receivables,Transport,Medium,1391590.94,459493.09,1698450.02,1391590.94,1467434.2138757594,2291393.198111746,1700064.8784954739,0.25806497117280625,0.46196067738782265,0.24050515623745292,0.15003755044470643,0.6200778581655259,1,0.7870597787063043,71.85552675430807,92.83755642312477,40-60%,15-25%,70-80%,0.594505,0.7186400977705435,0.8202251816866032,0.8552251816866032
117,Revolving Credit,PPSR - Receivables,Manufacturing,Elevated,3117502.95,3081489.44,4740910.97,4009536.7047963496,3691555.8492965745,7018672.935939687,5571755.050287169,0.2061526301138007,0.5212224171473623,0.24057336048840045,0.1729880261960843,0.3683861223139411,0,0.7496891300994248,93.99969171099876,121.6204710806485,40-60%,15-25%,70-80%,0.789111,0.99,1.0,1.0
123,Term Loan,PPSR - Receivables,Manufacturing,Elevated,10816624.63,840123.27,11656747.9,10816624.63,11416087.202575514,16311459.7166026,11356008.228457361,0.3038018408065181,0.5724834537716372,0.26228814469239914,0.18068280103110157,0.5742243310243301,0,0.7286149225868799,69.84924065882728,90.41667255946952,40-60%,25%+,70-80%,0.662607,0.8534241849216702,0.9885561661963811,1.0
125,Revolving Credit,PPSR - Receivables,Education & Training,Medium,3660496.06,2942224.07,5364528.69,4370632.9102397505,3973174.337886963,8796248.171072235,6420583.927188642,0.27007699165381865,0.5327500577029894,0.235621460479905,0.1633500548668486,0.5490129313867531,0,0.706482446012734,69.96819352694538,90.47363237461495,40-60%,15-25%,70-80%,0.587025,0.7558143785106906,0.8705762239519674,0.9055762239519675
127,Overdraft,PPSR - Mixed,Retail Trade,Elevated,7467861.7,1590404.49,8776123.63,7975673.798714709,7874427.232158269,13675096.104055503,10727629.937652677,0.21553531645958385,0.7805680977924858,0.29515326359680855,0.14806758387195795,0.4125717253147374,0,0.7503676416668541,90.41952136279615,116.80804334942292,60%+,25%+,70-80%,0.68413,0.9201144283483785,1.0,1.0
130,Term Loan,PPSR - Receivables,Real Estate,Medium,12494896.8,158527.1,12653423.9,12494896.8,13168153.35123138,18135454.775045257,13422510.640029795,0.25987460438546967,0.46638594493910346,0.1416804510791635,0.12941739871319852,0.4546639803487831,0,0.7839105981586204,81.6457873767722,105.35191867572385,40-60%,8-15%,70-80%,0.785888,0.9464570524269963,1.0,1.0
135,Revolving Credit,PPSR - Mixed,Utilities,Low,5802603.91,528573.94,6130003.88,5802603.91,6105049.060448041,7586330.279886359,6142718.690784376,0.19029115999990553,0.2654620887133807,0.20392701893216478,0.07074384270147682,0.6719087827862533,1,0.809668768796464,100.60745722715691,129.34693390105474,25-40%,15-25%,80%+,0.663652,0.7447859067972751,0.8290221223714854,0.8640221223714855
143,Revolving Credit,PPSR - Receivables,Professional Services,Medium,2857212.86,972075.03,3498828.16,2857212.86,3010027.2047952143,4256057.449267108,3315751.1649407153,0.22093364470169763,0.6223147133244964,0.15686580470925734,0.1161236757979855,0.5026303190992739,0,0.6999446663887254,74.54618795943506,96.11164677708305,60%+,15-25%,60-70%,0.89426,0.99,1.0,1.0
144,Revolving Credit,PPSR - Receivables,Accommodation & Food,Medium,5196698.73,3893720.64,7311127.46,5667374.751199769,5481201.688397861,9595976.7753231,7477303.942489638,0.22078761573098185,0.3582870860851334,0.24802507407834204,0.1582287985733094,0.5512526403685786,0,0.7752332603442338,85.33195216642078,110.30505655471522,25-40%,15-25%,70-80%,0.623172,0.7816470361897859,0.9030396008466697,0.9380396008466697
145,Overdraft,PPSR - Mixed,Mining,Elevated,413340.22,45066.57,447832.59,496365.8840970123,446620.29877713474,837558.7052439013,680082.4878000462,0.18801812512711846,0.7557286474842327,0.298243814560112,0.18098506478622745,0.44590448305074315,0,0.7492257803825113,87.6379788529404,113.4455061541984,60%+,25%+,70-80%,0.684746,0.9187004313404658,1.0,1.0
147,Term Loan,PPSR - Receivables,Mining,Elevated,11277853.37,1150311.6,12428164.97,11277853.37,11904022.009482747,18479715.07284703,14055744.576335479,0.23939603392542919,0.5414746322793227,0.2985450964468564,0.18406567556081935,0.5489400044630942,0,0.6991027733043972,87.10520098870703,112.77730347873278,40-60%,25%+,60-70%,0.657996,0.8604605836432062,1.0,1.0
148,Term Loan,PPSR - Receivables,Manufacturing,Elevated,264714.98,38077.2,302792.18,264714.98,279640.15201638854,444448.03451852046,341305.72806763736,0.23206831494399388,0.7171272841933226,0.2679820108281467,0.212734846159009,0.4640847203501621,0,0.7256887305558144,80.39322796306428,104.27152707135818,60%+,25%+,70-80%,0.611439,0.8374239309872682,0.9900262875015381,1.0
152,Overdraft,PPSR - Receivables,Retail Trade,Elevated,729962.92,326023.05,1019019.34,897464.119610331,859231.2403671235,1646451.412880496,1388554.8105411534,0.1566378456854356,0.4963074464560855,0.09679780979024877,0.10013159725241026,0.692575655496913,1,0.7771259295145068,64.68558250264792,76.84715300873995,40-60%,8-15%,70-80%,0.917194,0.99,1.0,1.0
158,Revolving Credit,PPSR - Mixed,Construction,Medium,8067782.34,1665389.57,9148213.0,8432816.701336384,8506785.215121485,12837060.07039799,10988803.76867278,0.14397816101112226,0.5527933091430666,0.2238923408357333,0.1471439387786169,0.5520725182326007,0,0.7750140931806381,92.9423663055645,120.06030133973103,40-60%,15-25%,70-80%,0.745712,0.9223694684084401,1.0,1.0
160,Revolving Credit,PPSR - Receivables,Accommodation & Food,Medium,6439224.37,2185846.2,7534877.15,7439297.610110955,6907456.485273136,12152662.075857481,9604215.652908951,0.20970273073018975,0.5222347699172116,0.19217174582900182,0.15373449846322265,0.655009034379755,1,0.802194133199442,73.67657878086634,95.21215139049792,40-60%,15-25%,80%+,0.71108,0.8332474037441627,0.940481138206914,0.9754811382069141
163,Overdraft,PPSR - Receivables,Real Estate,Medium,5656943.01,800752.14,6325920.44,6989362.314408197,6815497.694753145,11940977.61247816,10265574.115737937,0.14030706288147204,0.2927849746591238,0.14926747914488464,0.10209362035723359,0.7564496318320445,1,0.8475596273069192,87.3075547456557,103.73599814775541,25-40%,8-15%,80%+,0.850557,0.933098976378245,1.0,1.0
164,Overdraft,PPSR - Mixed,Retail Trade,Elevated,8815665.93,3019007.18,11816797.92,10432902.688749703,9392413.454216482,18034409.584396917,14069835.522386216,0.219833870549374,0.6603527989823037,0.2858557234557355,0.14739183349307267,0.3288848934649139,0,0.758706206280502,96.1168462941525,124.16291031290457,60%+,25%+,70-80%,0.714306,0.947868982467237,1.0,1.0
166,Overdraft,PPSR - Mixed,Manufacturing,Elevated,7892324.24,2333931.23,9940093.65,8309677.331931179,8317378.004997212,13769310.19030537,10233744.596241148,0.25677143917881434,0.6384163545073449,0.2970773289910815,0.12855339809342148,0.6407182537871421,1,0.8215272030625963,81.80307226013628,105.54921752605622,60%+,25%+,80%+,0.736097,0.8988577391098018,1.0,1.0
167,Revolving Credit,PPSR - Mixed,Mining,Elevated,2396829.33,903357.47,2919326.54,2646784.476293471,2467162.9919825364,4427775.489038711,3732980.391607025,0.15691741804698622,0.5828797601424921,0.1400947862656578,0.1071924471283839,0.7252767904492704,1,0.7795938332039444,65.11824477715494,77.3979435578723,40-60%,8-15%,70-80%,0.595466,0.7152381473950984,0.7821372212504496,0.8071372212504496
169,Overdraft,PPSR - Mixed,Mining,Elevated,5119433.06,573380.42,5594681.88,5119433.06,5396559.259071275,8415613.481585002,6459625.632303313,0.2324236793386209,0.5976430929214285,0.21286444357979975,0.1377401613508275,0.4265457179975167,0,0.7549843514708773,71.1866332265655,91.90331119773579,40-60%,15-25%,70-80%,0.963985,0.99,1.0,1.0
170,Revolving Credit,PPSR - Mixed,Financial Services,Medium,6918170.81,758997.19,7369212.69,6918170.81,7296264.9100721,9827533.294642229,7677339.675274322,0.2187928094367433,0.5870333817084878,0.23282257987385369,0.1550774063262374,0.4842021112757717,0,0.7551676833141625,89.37766383971683,115.51224621817848,40-60%,15-25%,70-80%,0.625792,0.813315100873686,0.9436065961614193,0.9786065961614193
174,Term Loan,PPSR - Receivables,Professional Services,Medium,4354758.17,995197.88,5349956.04,4354758.17,4588363.310806808,6700317.144821256,5122996.780455025,0.2354098067709166,0.48408588268836666,0.23402425166861768,0.12145513548924389,0.6208240413739036,1,0.7959872727793419,70.36314880329695,90.74850772992843,40-60%,15-25%,70-80%,0.758101,0.8789551627873019,0.9956631785022595,1.0
181,Term Loan,PPSR - Receivables,Accommodation & Food,Medium,1708847.05,206717.58,1915564.63,2010614.0451907408,1947761.4980203486,3199088.5022085505,2994177.1884248247,0.06405303061864695,0.22880422222276664,0.17421652904729887,0.03954669200050748,0.7287108594051411,1,0.8034003043608484,61.99926904574544,73.35528675375632,<=25%,15-25%,80%+,0.731579,0.7938876862385432,0.859937639291329,0.8849376392913291
182,Overdraft,PPSR - Mixed,Health Care,Medium,7575397.74,531218.22,8055292.62,7959649.270237178,7588826.345702503,12063476.36905504,10506770.25176137,0.1290429118166053,0.4300528969137296,0.12596010869951363,0.059088671703645665,0.7158939858487445,1,0.7995413152564648,74.0932915265085,87.7803299355562,40-60%,8-15%,70-80%,0.716467,0.8023105002717398,0.8673537602776379,0.8923537602776379
187,Term Loan,PPSR - Receivables,Agriculture,Elevated,4624303.46,156242.37,4780545.83,4624303.46,4869342.016302462,6235837.137951408,4795116.779246984,0.23103880470773927,0.5856202793392127,0.28381841611170494,0.0996429943235937,0.25763770568733957,0,0.7774748534383021,101.05648923011968,130.15787190917072,40-60%,25%+,70-80%,0.432174,0.6605761247453751,0.7833963249119421,0.8183963249119421
193,Term Loan,PPSR - Receivables,Manufacturing,Elevated,3702720.39,690827.25,4393547.65,4146538.9119327683,3903146.18598538,7526211.867336519,5715304.4984629415,0.24061339234055432,0.586602843029701,0.21403519170945648,0.13764453226221451,0.48488229697014845,0,0.7413399309569516,87.26611836149044,112.66156782624428,40-60%,15-25%,70-80%,0.741143,0.9379549914255817,1.0,1.0
205,Overdraft,PPSR - Mixed,Agriculture,Elevated,9786298.28,1939279.44,11514910.94,11476615.995595627,10327861.8827864,21115033.989018988,16335934.016120553,0.22633636182559952,0.6746894796949957,0.2472768228122742,0.1769204088832508,0.44801698903062653,0,0.7207177266620791,69.44986154666081,89.87879061186348,60%+,15-25%,70-80%,0.807382,0.99,1.0,1.0
206,Term Loan,PPSR - Receivables,Accommodation & Food,Medium,4570645.69,81427.92,4652073.61,4570645.69,4823175.7683784235,7289644.115285541,5882100.149230803,0.19308815955819852,0.5209362197367665,0.16553513445049764,0.17501388575453236,0.6785512540525885,1,0.7666108462363338,73.16232449643067,94.6721291715076,40-60%,15-25%,70-80%,0.785913,0.9051586529208681,1.0,1.0
208,Overdraft,PPSR - Receivables,Accommodation & Food,Medium,4817539.67,4374400.02,8236638.27,5590086.8858073605,5084151.208094391,9444179.349618489,7263053.578859327,0.23094921115059835,0.5914134424133599,0.3199015750218059,0.17806153041593642,0.5182678540675949,0,0.7921571392269713,92.53615478234825,119.76444846855384,40-60%,25%+,70-80%,0.69349,0.8930654284307165,1.0,1.0
209,Revolving Credit,PPSR - Receivables,Retail Trade,Elevated,9539704.06,2679964.85,11471926.98,9721206.238096567,10072669.714390248,17661581.15143166,13202321.491435846,0.2524836039175543,0.7660507957117302,0.3645830912838689,0.1956051293211239,0.41639456900148464,0,0.7383805695060458,109.54457172912258,141.9312502228371,60%+,25%+,70-80%,0.538501,0.7958346996139559,0.9612784675368077,0.9962784675368077
210,Revolving Credit,PPSR - Receivables,Agriculture,Elevated,11401924.3,1915432.41,12575756.32,11418374.044506583,12024993.36442186,20331332.175586894,15645448.158308163,0.23047599521812764,0.6335158756450342,0.29631645482120866,0.1548652315991297,0.4895041217185312,0,0.730025714905761,86.49003429467311,111.77878783254648,60%+,25%+,70-80%,0.54994,0.7629331542356477,0.8939591106303113,0.9289591106303113
211,Revolving Credit,PPSR - Receivables,Construction,Medium,5372431.0,4638250.98,8421442.15,8868057.659728082,8588226.871789183,14734642.905602876,12360563.171237702,0.1611223121981753,0.49460097324281693,0.2661152785005408,0.13350986235997153,0.5837560304729686,0,0.7885408198658684,87.42293131955776,112.83509797124029,40-60%,25%+,70-80%,0.894798,0.99,1.0,1.0
218,Term Loan,PPSR - Receivables,Accommodation & Food,Medium,5477379.59,1317418.01,6794797.59,5656626.970512746,5493986.262696316,8287498.359850751,7284502.331604999,0.12102518573093463,0.2946063914235569,0.11426470281258486,0.10106214978316741,0.7632101569076368,1,0.8082545476219464,44.59789010267768,52.98608301312527,25-40%,8-15%,80%+,0.592086,0.6580860887587456,0.7108532377056757,0.7358532377056757
228,Overdraft,PPSR - Mixed,Professional Services,Medium,6466687.87,3484845.94,9909938.28,9362947.132996773,9508145.272248186,17756403.129107926,15537498.268759277,0.12496364518280267,0.17816482516666163,0.11052890539613128,0.07784230374703996,0.7430249315666243,1,0.8568918997240289,43.90662050243796,52.08323559204933,<=25%,8-15%,80%+,0.613764,0.666439380532125,0.7172004061335417,0.7422004061335418
229,Revolving Credit,PPSR - Mixed,Professional Services,Medium,9825796.21,3351503.96,11914849.81,9970579.625503995,10361325.883388922,18478410.221571088,13498528.313440394,0.26949731326547477,0.4808871807315851,0.17001728260247437,0.1500806718132968,0.586972135752069,0,0.7413827278304418,76.60251770237716,98.97094724459178,40-60%,15-25%,70-80%,0.815084,0.9680042371937003,1.0,1.0
234,Revolving Credit,PPSR - Mixed,Accommodation & Food,Medium,9546573.59,4796490.83,12746737.09,11123291.239096403,10330282.974358723,18506634.608008042,15001782.757673364,0.18938353323397256,0.34971057777271636,0.2443579781534335,0.14300722221480874,0.4238116576252484,0,0.7667345572124808,101.43345741893255,130.9952828550437,25-40%,15-25%,70-80%,0.80997,0.9846610565399174,1.0,1.0
241,Revolving Credit,PPSR - Mixed,Transport,Medium,6755244.53,3947363.01,8839070.53,6755244.53,7121634.734012149,9795991.96023758,7685793.782597611,0.21541444564321494,0.48936611176493294,0.20517317093023096,0.14126297173014513,0.4288137899435239,0,0.7504859531093396,83.44343704891374,107.75059685372213,40-60%,15-25%,70-80%,0.695188,0.8706880160426663,1.0,1.0
244,Term Loan,PPSR - Receivables,Retail Trade,Elevated,6391121.17,789663.35,7180784.52,6391121.17,6741098.164973499,8952286.48172759,6870865.280245602,0.23250163025170753,0.5941356335528477,0.3163671850961684,0.15866249266922966,0.5164797282177745,0,0.7599259456700621,80.62862983432291,104.22806533913479,40-60%,25%+,70-80%,0.548098,0.7548812430763067,0.885087436568479,0.920087436568479
245,Revolving Credit,PPSR - Mixed,Professional Services,Medium,5380642.95,1464103.93,6207215.87,5380642.95,5668604.381634914,8209634.8366808165,7140443.857345732,0.13023611897546494,0.44648953311765516,0.23336385851253738,0.11726779563220699,0.576312301994301,0,0.7239973807760433,86.44377248317899,111.45899443008786,40-60%,15-25%,70-80%,0.815134,0.9729059228722828,1.0,1.0
