loan_id,product,cashflow_product,state,industry,annual_revenue,ebitda,ebitda_margin,leverage_ratio,dscr,bureau_score,fcf_margin,revenue_cagr,conduct_classification,years_in_business,pd_estimate,pd_score_band,facility_type,facility_limit,drawn_balance,undrawn_amount,ccf,ead,seniority,has_receivables_security,security_coverage_ratio,default_date,default_trigger,contract_rate_proxy,cost_of_funds_proxy,discount_rate,resolution_strategy,workout_months,realised_lgd,industry_risk_score,industry_risk_level,industry_debt_to_ebitda_benchmark,industry_icr_benchmark,industry_recovery_haircut,lgd_industry_adjusted,macro_downturn_scalar,industry_downturn_adjustment,downturn_scalar,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,industry_moc,lgd_with_moc,dscr_stress_overlay,conduct_overlay,supervisory_lgd,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band
11,Cashflow Lending,Working Capital Facility,WA,Manufacturing,8269004.25,647610.64,0.0783,11.46,3.4743,629,0.0186,-0.0396,Green,10,0.027862,B,Revolving,4532682.54,4038972.59,493709.95,0.7958,4431868.29,Senior Unsecured,0,0.0991,2023-02-03,Voluntary Administration,0.0839,0.0526,0.0839,Write-off,17,0.625186,3.5,Elevated,3.2,3.1,0.03,0.655186,1.19,1.075,1.27925,1.27925,macro_plus_industry,v1.0,baseline,0.8381466905,0.04104,0.8791866905,0.0,0.0,0.5,0.8791866905,cashflow_lending,B,Working Capital Facility,Working Capital Facility,NotApplicable,Elevated
12,Cashflow Lending,Invoice Finance,QLD,Professional Services,948756.57,48654.42,0.0513,97.38,1.9584,686,0.0706,-0.1023,Green,2,0.035123,B,Revolving,4984966.52,3728610.1,1256356.42,0.7077,4617742.3,Senior Secured,1,0.594,2020-02-29,Cash Flow Shortfall,0.0919,0.0526,0.0919,DOCA,29,0.436322,2.18,Medium,2.3,4.3,0.0036000000000000034,0.439922,1.1299666666666668,0.976,1.1028474666666668,1.1028474666666668,macro_plus_industry,v1.0,baseline,0.48516686323093333,0.0370272,0.5221940632309333,0.0,0.0,0.35,0.5221940632309333,cashflow_lending,B,Invoice Finance,Invoice Finance,NotApplicable,Low
13,Cashflow Lending,Business Line of Credit,NT,Retail Trade,7255622.47,1093586.76,0.1507,1.06,2.0738,647,0.1645,-0.0762,Green,31,0.033094,B,Revolving,1256156.16,719784.1,536372.06,0.5463,1012811.45,Senior Unsecured,0,0.1029,2019-03-27,Covenant Breach,0.0809,0.0502,0.0809,Write-off,14,0.667465,3.23,Elevated,3.1,3.2,0.0246,0.6920649999999999,1.19,1.05475,1.2551525000000001,1.2551525000000001,macro_plus_industry,v1.0,baseline,0.8686471149125,0.0402192,0.9088663149125,0.0,0.0,0.5,0.9088663149125,cashflow_lending,B,Business Line of Credit,Business Line of Credit,NotApplicable,Elevated
14,Cashflow Lending,Invoice Finance,VIC,Information Technology,22296012.8,3381147.39,0.1516,1.04,2.0741,656,0.0578,-0.0232,Red,3,0.054784,C,Revolving,2286633.39,1972351.36,314282.03,0.7985,2223304.76,Senior Secured,1,0.6396,2020-05-30,90 DPD,0.0722,0.0726,0.0726,Write-off,26,0.448748,2.55,Medium,2.0,4.8,0.010999999999999996,0.459748,1.1293333333333333,1.00375,1.1335683333333333,1.1335683333333333,macro_plus_industry,v1.0,baseline,0.5211557741133332,0.04016,0.5763157741133332,0.0,0.015,0.35,0.5763157741133332,cashflow_lending,C,Invoice Finance,Invoice Finance,NotApplicable,Medium
15,Cashflow Lending,Working Capital Facility,QLD,Manufacturing,12819924.14,2803790.29,0.2187,2.66,1.0616,731,0.0677,-0.0607,Amber,20,0.049271,B,Revolving,4835931.57,3586518.74,1249412.83,0.7327,4501920.42,Senior Unsecured,0,0.0883,2019-09-17,Covenant Breach,0.0891,0.0515,0.0891,DOCA,16,0.729972,3.5,Elevated,3.2,3.1,0.03,0.759972,1.216187323076923,1.075,1.307401372307692,1.307401372307692,macro_plus_industry,v1.0,baseline,0.9935884357154213,0.04104,1.0443964357154214,0.004767999999999999,0.005,0.5,1.0,cashflow_lending,B,Working Capital Facility,Working Capital Facility,NotApplicable,Elevated
16,Cashflow Lending,Merchant Cash Advance,NSW,Real Estate,2353798.66,382752.14,0.1626,32.32,1.9649,702,0.1983,0.1712,Red,21,0.025596,B,Revolving,7984760.64,5435620.06,2549140.58,0.6268,7033358.25,Senior Unsecured,0,0.0444,2022-10-06,90 DPD,0.0683,0.0747,0.0747,DOCA,19,0.68319,2.9,Medium,3.8,2.7,0.018,0.70119,1.2441333333333333,1.03,1.2814573333333334,1.2814573333333334,macro_plus_industry,v1.0,baseline,0.8985450675600001,0.039216,0.9527610675600001,0.0,0.015,0.55,0.9527610675600001,cashflow_lending,B,Merchant Cash Advance,Merchant Cash Advance,NotApplicable,Medium
17,Cashflow Lending,Trade Finance,ACT,Agriculture,1740095.05,124086.58,0.0713,30.72,1.0582,535,0.113,0.2938,Green,20,0.046534,B,Term,2145112.14,1944769.53,200342.61,1.0,2145112.14,Senior Secured,1,0.7826,2023-11-07,Bureau Downgrade,0.0808,0.0566,0.0808,DOCA,9,0.493851,3.5,Elevated,2.9,3.6,0.03,0.523851,1.1143288,1.075,1.19790346,1.19790346,macro_plus_industry,v1.0,baseline,0.62752292542446,0.04104,0.6733989254244599,0.004836,0.0,0.4,0.6733989254244599,cashflow_lending,B,Trade Finance,Trade Finance,NotApplicable,Elevated
18,Cashflow Lending,Working Capital Facility,QLD,Education & Training,3483891.8,489064.56,0.1404,12.51,1.277,689,0.0714,-0.0758,Green,9,0.062916,C,Revolving,6118683.99,4984228.97,1134455.02,0.7374,5820767.33,Senior Unsecured,0,0.0704,2023-03-01,Covenant Breach,0.0943,0.0719,0.0943,Workout,25,0.744993,2.3,Medium,1.8,5.0,0.005999999999999997,0.750993,1.2305476923076923,0.985,1.212089476923077,1.212089476923077,macro_plus_industry,v1.0,baseline,0.9102707125428924,0.03936,0.9500907125428923,0.0004600000000000026,0.0,0.5,0.9500907125428923,cashflow_lending,C,Working Capital Facility,Working Capital Facility,NotApplicable,Low
19,Cashflow Lending,Business Line of Credit,VIC,Agriculture,10353028.67,556380.26,0.0537,16.84,2.4845,715,0.1439,0.1076,Green,10,0.015829,A,Revolving,6426560.39,3570935.1,2855625.29,0.5115,5031641.47,Senior Unsecured,0,0.0851,2024-01-20,Covenant Breach,0.0803,0.0788,0.0803,Voluntary Administration,6,0.569371,3.5,Elevated,2.9,3.6,0.03,0.599371,1.17,1.075,1.25775,1.25775,macro_plus_industry,v1.0,baseline,0.75385887525,0.03672,0.7905788752499999,0.0,0.0,0.5,0.7905788752499999,cashflow_lending,A,Business Line of Credit,Business Line of Credit,NotApplicable,Elevated
20,Cashflow Lending,Invoice Finance,NSW,Retail Trade,6369059.17,1177643.67,0.1849,7.37,2.263,705,0.1241,0.161,Green,31,0.016206,A,Revolving,6375727.89,4489657.76,1886070.12,0.7187,5845117.83,Senior Secured,1,0.7503,2021-02-15,Covenant Breach,0.0918,0.0766,0.0918,Workout,27,0.419795,3.23,Elevated,3.1,3.2,0.0246,0.444395,1.1021,1.05475,1.162439975,1.162439975,macro_plus_industry,v1.0,baseline,0.516582512690125,0.0359856,0.552568112690125,0.0,0.0,0.35,0.552568112690125,cashflow_lending,A,Invoice Finance,Invoice Finance,NotApplicable,Elevated
21,Cashflow Lending,Business Term Loan,VIC,Mining,3391810.07,455452.55,0.1343,22.65,2.9589,607,0.1684,0.055,Green,20,0.014134,A,Term,6179950.54,6104018.9,75931.64,1.0,6179950.54,Senior Unsecured,0,0.17,2023-01-12,Bureau Downgrade,0.0655,0.0651,0.0655,Write-off,25,0.588802,3.5,Elevated,3.5,2.9,0.03,0.6188020000000001,1.1461333333333332,1.075,1.2320933333333333,1.2320933333333333,macro_plus_industry,v1.0,baseline,0.7624218188533334,0.03672,0.7991418188533334,0.0,0.0,0.45,0.7991418188533334,cashflow_lending,A,Business Term Loan,Business Term Loan,NotApplicable,Elevated
22,Cashflow Lending,Equipment Finance,NSW,Information Technology,11638902.36,2457603.23,0.2112,1.53,2.9145,602,0.0291,0.1113,Red,12,0.041588,B,Term,2540741.8,2124664.82,416076.98,1.0,2540741.8,Senior Unsecured,0,0.0038,2020-03-20,Voluntary Administration,0.0935,0.0527,0.0935,Workout,9,0.659153,2.55,Medium,2.0,4.8,0.010999999999999996,0.670153,1.09,1.00375,1.0940875,1.0940875,macro_plus_industry,v1.0,baseline,0.7332060203875,0.038152,0.7863580203875,0.0,0.015,0.45,0.7863580203875,cashflow_lending,B,Equipment Finance,Equipment Finance,NotApplicable,Medium
23,Cashflow Lending,Working Capital Facility,NSW,Manufacturing,2040149.19,221746.19,0.1087,51.24,1.1872,623,0.1919,0.1562,Green,3,0.034178,B,Revolving,7268706.74,5108776.63,2159930.12,0.5571,6312045.32,Senior Unsecured,0,0.0276,2019-08-31,Voluntary Administration,0.0918,0.0574,0.0918,DOCA,8,0.681953,3.5,Elevated,3.2,3.1,0.03,0.7119530000000001,1.202390646153846,1.075,1.2925699446153844,1.2925699446153844,macro_plus_industry,v1.0,baseline,0.9202490497787569,0.04104,0.9635450497787569,0.002256,0.0,0.5,0.9635450497787569,cashflow_lending,B,Working Capital Facility,Working Capital Facility,NotApplicable,Elevated
24,Cashflow Lending,Working Capital Facility,VIC,Professional Services,2627766.4,167746.54,0.0638,9.2,2.6977,693,0.1641,0.1199,Green,17,0.01608,A,Revolving,1168633.13,540377.73,628255.4,0.5593,891751.17,Senior Unsecured,0,0.0787,2019-10-21,90 DPD,0.0743,0.072,0.0743,DOCA,25,0.559542,2.18,Medium,2.3,4.3,0.0036000000000000034,0.563142,1.1973,0.976,1.1685648,1.1685648,macro_plus_industry,v1.0,baseline,0.6580679186016,0.0331296,0.6911975186016,0.0,0.0,0.5,0.6911975186016,cashflow_lending,A,Working Capital Facility,Working Capital Facility,NotApplicable,Low
25,Cashflow Lending,Business Term Loan,NSW,Manufacturing,2432604.6,400529.4,0.1647,15.76,2.2608,698,0.1165,0.0214,Green,32,0.025731,B,Term,5458675.76,4498944.48,959731.28,1.0,5458675.76,Senior Unsecured,0,0.0836,2019-11-29,Covenant Breach,0.0761,0.0599,0.0761,DOCA,18,0.701375,3.5,Elevated,3.2,3.1,0.03,0.731375,1.14,1.075,1.2254999999999998,1.2254999999999998,macro_plus_industry,v1.0,baseline,0.8963000624999998,0.04104,0.9373400624999998,0.0,0.0,0.45,0.9373400624999998,cashflow_lending,B,Business Term Loan,Business Term Loan,NotApplicable,Elevated
26,Cashflow Lending,Business Term Loan,VIC,Accommodation & Food,1599088.95,109012.01,0.0682,61.84,1.8588,634,-0.0116,0.2842,Green,7,0.035013,B,Term,3538813.51,3042441.6,496371.91,1.0,3538813.51,Senior Unsecured,0,0.168,2019-12-25,90 DPD,0.0883,0.0747,0.0883,Workout,28,0.713379,2.68,Medium,2.7,3.7,0.013600000000000003,0.726979,1.178,1.0135,1.193903,1.193903,macro_plus_industry,v1.0,baseline,0.867942409037,0.0385472,0.906489609037,0.0,0.0,0.45,0.906489609037,cashflow_lending,B,Business Term Loan,Business Term Loan,NotApplicable,Medium
27,Cashflow Lending,Professional Practice Loan,WA,Transport,3468547.93,317327.66,0.0915,41.55,1.8282,669,0.059,0.1274,Green,9,0.038839,B,Term,7443898.29,7023517.01,420381.28,1.0,7443898.29,Senior Unsecured,0,0.1932,2018-06-13,Cash Flow Shortfall,0.0926,0.0553,0.0926,Workout,18,0.632851,2.14,Medium,2.6,3.8,0.0028000000000000026,0.6356510000000001,1.09,0.973,1.06057,1.06057,macro_plus_industry,v1.0,baseline,0.6741523810700001,0.036905600000000004,0.7110579810700001,0.0,0.0,0.45,0.7110579810700001,cashflow_lending,B,Professional Practice Loan,Professional Practice Loan,NotApplicable,Low
28,Cashflow Lending,Working Capital Facility,NSW,Manufacturing,1927972.49,239451.55,0.1242,41.76,2.1356,633,-0.008,0.0676,Green,5,0.034711,B,Revolving,7645940.58,3737116.59,3908823.98,0.6831,6407165.8,Senior Unsecured,0,0.0689,2021-03-02,90 DPD,0.0898,0.0613,0.0898,Workout,15,0.667086,3.5,Elevated,3.2,3.1,0.03,0.697086,1.19,1.075,1.27925,1.27925,macro_plus_industry,v1.0,baseline,0.8917472654999999,0.04104,0.9327872654999999,0.0,0.0,0.5,0.9327872654999999,cashflow_lending,B,Working Capital Facility,Working Capital Facility,NotApplicable,Elevated
29,Cashflow Lending,Trade Finance,SA,Accommodation & Food,1958405.88,85741.05,0.0438,8.91,3.1497,665,0.0582,0.1478,Green,16,0.014782,A,Term,498127.44,401649.6,96477.84,1.0,498127.44,Senior Secured,1,0.6887,2022-04-02,90 DPD,0.068,0.0699,0.0699,Workout,8,0.251702,2.68,Medium,2.7,3.7,0.013600000000000003,0.265302,1.07,1.0135,1.084445,1.084445,macro_plus_industry,v1.0,baseline,0.28770542739,0.0344896,0.4,0.0,0.0,0.4,0.4,cashflow_lending,A,Trade Finance,Trade Finance,NotApplicable,Medium
30,Cashflow Lending,Professional Practice Loan,NSW,Professional Services,6669410.92,1436007.48,0.2153,8.39,2.8006,726,0.0298,0.0992,Green,19,0.022075,A,Term,7557773.56,6166010.76,1391762.8,1.0,7557773.56,Senior Unsecured,0,0.1697,2020-03-04,Cash Flow Shortfall,0.0953,0.0632,0.0953,DOCA,18,0.550511,2.18,Medium,2.3,4.3,0.0036000000000000034,0.554111,1.07,0.9760000000000001,1.0443200000000001,1.0443200000000001,macro_plus_industry,v1.0,baseline,0.5786691995200001,0.0331296,0.61179879952,0.0,0.0,0.45,0.61179879952,cashflow_lending,A,Professional Practice Loan,Professional Practice Loan,NotApplicable,Low
31,Cashflow Lending,Business Line of Credit,QLD,Construction,5433739.84,617276.9,0.1136,3.89,1.3867,672,0.1975,0.2438,Green,2,0.028789,B,Revolving,1872402.71,862643.21,1009759.5,0.5108,1378419.74,Senior Unsecured,0,0.0301,2020-06-28,Cash Flow Shortfall,0.092,0.0756,0.092,Voluntary Administration,23,0.724658,2.68,Medium,3.3,3.1,0.013600000000000003,0.7382580000000001,1.2098333333333333,1.0135,1.2261660833333334,1.2261660833333334,macro_plus_industry,v1.0,baseline,0.9052269203495001,0.0385472,0.9437741203495001,0.0,0.0,0.5,0.9437741203495001,cashflow_lending,B,Business Line of Credit,Business Line of Credit,NotApplicable,Medium
32,Cashflow Lending,Equipment Finance,NSW,Professional Services,2572634.8,226689.5,0.0881,33.56,2.4361,624,0.1628,0.0337,Green,16,0.029191,B,Term,7453566.65,6484912.01,968654.63,1.0,7453566.65,Senior Unsecured,0,0.0786,2023-07-03,Cash Flow Shortfall,0.1047,0.0505,0.1047,DOCA,6,0.598271,2.18,Medium,2.3,4.3,0.0036000000000000034,0.601871,1.09,0.9760000000000001,1.0638400000000001,1.0638400000000001,macro_plus_industry,v1.0,baseline,0.6402944446400001,0.0370272,0.6773216446400001,0.0,0.0,0.45,0.6773216446400001,cashflow_lending,B,Equipment Finance,Equipment Finance,NotApplicable,Low
33,Cashflow Lending,Working Capital Facility,QLD,Health Care,2670061.22,338576.58,0.1268,7.35,2.3892,535,0.0426,0.0224,Amber,4,0.043309,B,Revolving,2225990.69,1859854.69,366136.01,0.673,2106259.62,Senior Unsecured,0,0.1063,2024-04-09,Covenant Breach,0.0826,0.0679,0.0826,Workout,12,0.634004,2.22,Medium,2.1,4.5,0.004400000000000004,0.638404,1.19,0.979,1.1650099999999999,1.1650099999999999,macro_plus_industry,v1.0,baseline,0.7437470440399999,0.0371488,0.7858958440399999,0.0,0.005,0.5,0.7858958440399999,cashflow_lending,B,Working Capital Facility,Working Capital Facility,NotApplicable,Low
34,Cashflow Lending,Equipment Finance,VIC,Education & Training,1222497.77,130361.08,0.1066,14.24,1.4225,643,0.0974,-0.1127,Green,7,0.048268,B,Term,960257.34,794187.7,166069.65,1.0,960257.34,Senior Unsecured,0,0.0466,2022-11-08,90 DPD,0.0969,0.0785,0.0969,Write-off,22,0.713086,2.3,Medium,1.8,5.0,0.005999999999999997,0.719086,1.1045333333333336,0.9850000000000001,1.0879653333333337,1.0879653333333337,macro_plus_industry,v1.0,baseline,0.7823406396853336,0.037392,0.8197326396853336,0.0,0.0,0.45,0.8197326396853336,cashflow_lending,B,Equipment Finance,Equipment Finance,NotApplicable,Low
35,Cashflow Lending,Working Capital Facility,WA,Wholesale Trade,1530713.06,128333.4,0.0838,50.28,1.3838,640,0.0362,0.1621,Amber,25,0.034753,B,Revolving,5532708.67,2829154.75,2703553.92,0.5908,4426430.56,Senior Unsecured,0,0.0269,2022-04-16,90 DPD,0.0957,0.0558,0.0957,Workout,21,0.731327,3.23,Elevated,3.5,2.9,0.0246,0.7559269999999999,1.2019,1.05475,1.267704025,1.267704025,macro_plus_industry,v1.0,baseline,0.9582917005061748,0.0402192,1.0035109005061749,0.0,0.005,0.5,1.0,cashflow_lending,B,Working Capital Facility,Working Capital Facility,NotApplicable,Elevated
36,Cashflow Lending,Trade Finance,NSW,Real Estate,1935418.4,272703.56,0.1409,23.24,1.8009,694,0.0545,0.2504,Green,21,0.027226,B,Term,3835802.15,3647412.25,188389.9,1.0,3835802.15,Senior Secured,1,0.7221,2023-02-16,Covenant Breach,0.0673,0.0649,0.0673,Voluntary Administration,19,0.327663,2.9,Medium,3.8,2.7,0.018,0.345663,1.0936333333333335,1.03,1.1264423333333335,1.1264423333333335,macro_plus_industry,v1.0,baseline,0.38936943626700005,0.039216,0.4285854362670001,0.0,0.0,0.4,0.4285854362670001,cashflow_lending,B,Trade Finance,Trade Finance,NotApplicable,Medium
37,Cashflow Lending,Business Term Loan,VIC,Health Care,315761.17,32604.73,0.1033,63.55,2.8903,778,0.0812,0.2247,Green,20,0.012883,A,Term,1219530.65,1179839.57,39691.08,1.0,1219530.65,Senior Unsecured,0,0.042,2023-11-10,Cash Flow Shortfall,0.1034,0.0593,0.1034,DOCA,12,0.564118,2.22,Medium,2.1,4.5,0.004400000000000004,0.568518,1.1199999999999999,0.979,1.09648,1.09648,macro_plus_industry,v1.0,baseline,0.6233686166399999,0.0332384,0.6566070166399999,0.0,0.0,0.45,0.6566070166399999,cashflow_lending,A,Business Term Loan,Business Term Loan,NotApplicable,Low
38,Cashflow Lending,Business Line of Credit,VIC,Retail Trade,4513799.33,405572.12,0.0899,24.55,1.3657,662,0.1596,0.0147,Amber,30,0.03956,B,Revolving,6658731.29,3165149.3,3493581.99,0.603,5271633.4,Senior Unsecured,0,0.0118,2024-04-05,90 DPD,0.0722,0.0724,0.0724,Voluntary Administration,11,0.698627,3.23,Elevated,3.1,3.2,0.0246,0.723227,1.19,1.05475,1.2551525000000001,1.2551525000000001,macro_plus_industry,v1.0,baseline,0.9077601771175,0.0402192,0.9529793771175,0.0,0.005,0.5,0.9529793771175,cashflow_lending,B,Business Line of Credit,Business Line of Credit,NotApplicable,Elevated
39,Cashflow Lending,Business Term Loan,NSW,Manufacturing,9618036.16,1887291.2,0.1962,0.7,1.2251,599,0.0349,-0.0792,Green,16,0.076677,D,Term,1183611.82,987783.85,195827.97,1.0,1183611.82,Senior Unsecured,0,0.1354,2022-09-22,Voluntary Administration,0.0756,0.0773,0.0773,Workout,20,0.837679,3.5,Elevated,3.2,3.1,0.03,0.867679,1.1960250051282049,1.075,1.2857268805128201,1.2857268805128201,macro_plus_industry,v1.0,baseline,1.1155982139564833,0.04752000000000001,1.1646162139564833,0.0014979999999999993,0.0,0.45,1.0,cashflow_lending,D,Business Term Loan,Business Term Loan,NotApplicable,Elevated
40,Cashflow Lending,Equipment Finance,NSW,Construction,6006240.54,1121294.8,0.1867,7.92,3.2417,643,0.1176,0.145,Green,4,0.025928,B,Term,4698965.55,4512669.04,186296.51,1.0,4698965.55,Senior Unsecured,0,0.1421,2019-11-21,90 DPD,0.0785,0.0669,0.0785,Workout,8,0.601882,2.68,Medium,3.3,3.1,0.013600000000000003,0.6154820000000001,1.09,1.0135,1.1047150000000001,1.1047150000000001,macro_plus_industry,v1.0,baseline,0.6799321976300001,0.0385472,0.7184793976300001,0.0,0.0,0.45,0.7184793976300001,cashflow_lending,B,Equipment Finance,Equipment Finance,NotApplicable,Medium
