loan_id,product,state,industry,annual_revenue,ebitda,leverage_ratio,interest_coverage_ratio,years_in_business,facility_type,facility_limit,drawn_balance,undrawn_amount,ccf,ead,seniority,has_director_guarantee,security_type,collateral_value,security_coverage_ratio,default_date,default_trigger,contract_rate_proxy,cost_of_funds_proxy,discount_rate,resolution_strategy,workout_months,realised_lgd,industry_risk_score,industry_risk_level,industry_debt_to_ebitda_benchmark,industry_icr_benchmark,discount_rate_proxy_used,discount_rate_source,icr_driver,dscr_driver,industry_driver,industry_recovery_haircut,lgd_industry_adjusted,lgd_base,macro_downturn_scalar,industry_downturn_adjustment,downturn_scalar,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,industry_moc,lgd_with_moc,cure_overlay_rate_proxy,liquidation_loss_proxy,lgd_after_cure_overlay_proxy,cure_overlay_applied_flag,cure_overlay_source,supervisory_lgd,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band
11,Commercial,VIC,Education & Training,1239811.93,267042.71,43.3,1.09,17,Revolving Credit,6286148.66,5670687.53,615461.13,0.6787,6088384.74,Senior Unsecured,1,GSR Only,2738293.36,0.4498,2022-04-16,90 DPD,0.0761,0.0501,0.0761,Workout,21,0.747322,2.3,Medium,1.8,5.0,0.0761,max_contract_vs_cost_of_funds,,,Education & Training,0.005999999999999997,0.753322,0.753322,1.3339999999999999,0.985,1.3139899999999998,1.3139899999999998,macro_plus_industry,v1.0,baseline,0.9898575747799999,0.029519999999999998,1.01937757478,0.029458333333333336,1.0,0.9705416666666666,True,dampened_unsecured_proxy,0.45,1.0,commercial,Unknown,GSR Only,GSR Only,NotApplicable,Low
12,Commercial,WA,Education & Training,2560776.74,474383.95,32.79,0.73,24,Term Loan,9868969.77,9772094.67,96875.09,1.0,9868969.77,Senior Secured,1,PPSR - Mixed,6522522.13,0.6609,2022-10-29,Covenant Breach,0.0834,0.0578,0.0834,Voluntary Administration,34,0.759139,2.3,Medium,1.8,5.0,0.0834,max_contract_vs_cost_of_funds,,,Education & Training,0.005999999999999997,0.765139,0.765139,1.3860759999999996,0.985,1.3652848599999996,1.3652848599999996,macro_plus_industry,v1.0,baseline,1.0446326924955398,0.029519999999999998,1.0741526924955398,0.030000000000000013,1.0,0.97,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Low
13,Commercial,NSW,Construction,5680488.58,1247611.4,6.69,5.53,13,Term Loan,3829849.32,3824894.01,4955.32,1.0,3829849.32,Senior Unsecured,1,PPSR - P&E,3519402.38,0.9189,2022-05-07,Voluntary Administration,0.0796,0.0579,0.0796,Workout,13,0.518402,2.68,Medium,3.3,3.1,0.0796,max_contract_vs_cost_of_funds,,,Construction,0.013600000000000003,0.5320020000000001,0.5320020000000001,1.229196,1.0135,1.245790146,1.245790146,macro_plus_industry,v1.0,baseline,0.6627628492522921,0.030431999999999997,0.6931948492522921,0.12044666666666667,0.6931948492522921,0.609701840309351,True,secured_proxy,0.45,0.6931948492522921,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Medium
14,Commercial,NSW,Agriculture,3251307.21,798844.82,23.15,0.99,7,Revolving Credit,14383731.2,10953816.2,3429915.0,0.5774,12934160.23,Senior Secured,1,PPSR - Receivables,9711611.32,0.7508,2023-11-27,Voluntary Administration,0.0737,0.0606,0.0737,Receivership,20,0.724325,3.5,Elevated,2.9,3.6,0.0737,max_contract_vs_cost_of_funds,,,Agriculture,0.03,0.754325,0.754325,1.2977119999999998,1.075,1.3950403999999996,1.3950403999999996,macro_plus_industry,v1.0,baseline,1.0523138497299998,0.0324,1.0847138497299997,0.08833333333333335,1.0,0.9116666666666666,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Elevated
15,Commercial,WA,Utilities,14271283.97,3202623.44,0.84,51.41,33,Overdraft,1214547.38,898218.9,316328.48,0.9082,1185509.4,Senior Unsecured,0,GSR Only,472536.49,0.3986,2023-07-08,Voluntary Administration,0.0592,0.0548,0.0592,Voluntary Administration,18,0.898102,1.9,Low,3.0,3.5,0.0592,max_contract_vs_cost_of_funds,,,Utilities,0.0,0.898102,0.898102,1.3224999999999998,0.955,1.2629874999999997,1.2629874999999997,macro_plus_industry,v1.0,baseline,1.1342915997249996,0.02856,1.1628515997249995,0.03383333333333333,1.0,0.9661666666666666,True,dampened_unsecured_proxy,0.45,1.0,commercial,Unknown,GSR Only,GSR Only,NotApplicable,Low
16,Commercial,NSW,Wholesale Trade,1746160.13,310709.73,16.58,1.87,39,Term Loan,3922061.13,3406472.96,515588.16,1.0,3922061.13,Senior Unsecured,0,PPSR - Receivables,2636729.44,0.6723,2021-12-17,90 DPD,0.0602,0.0698,0.0698,Receivership,29,0.816134,3.23,Elevated,3.5,2.9,0.0698,max_contract_vs_cost_of_funds,,,Wholesale Trade,0.0246,0.840734,0.840734,1.3619719999999997,1.05475,1.4365399669999999,1.4365399669999999,macro_plus_industry,v1.0,baseline,1.207747992615778,0.031752,1.239499992615778,0.05083333333333334,1.0,0.9491666666666667,True,secured_proxy,0.45,1.0,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Elevated
17,Commercial,VIC,Wholesale Trade,2705822.38,411584.52,8.79,2.21,23,Term Loan,3291907.17,2799651.05,492256.13,1.0,3291907.17,Senior Unsecured,1,Property,2564879.89,0.7791,2022-06-02,Covenant Breach,0.0808,0.0469,0.0808,Write-off,34,0.522423,3.23,Elevated,3.5,2.9,0.0808,max_contract_vs_cost_of_funds,,,Wholesale Trade,0.0246,0.5470229999999999,0.5470229999999999,1.287543833333333,1.05475,1.358036858208333,1.358036858208333,macro_plus_industry,v1.0,baseline,0.7428773962876969,0.031752,0.7746293962876969,0.030000000000000013,0.7746293962876969,0.751390514399066,True,secured_proxy,0.45,0.7746293962876969,commercial,Unknown,Property,Property,NotApplicable,Elevated
18,Commercial,NSW,Mining,2255938.83,435746.9,16.74,2.11,16,Term Loan,3727982.59,3538790.94,189191.65,1.0,3727982.59,Senior Unsecured,1,PPSR - P&E,3278572.76,0.8794,2022-04-20,Voluntary Administration,0.0651,0.0471,0.0651,Receivership,36,0.526712,3.5,Elevated,3.5,2.9,0.0651,max_contract_vs_cost_of_funds,,,Mining,0.03,0.556712,0.556712,1.3154160000000001,1.075,1.4140722000000001,1.4140722000000001,macro_plus_industry,v1.0,baseline,0.7872309626064,0.0324,0.8196309626064,0.037546666666666645,0.8196309626064,0.7888565520637384,True,secured_proxy,0.45,0.8196309626064,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Elevated
19,Commercial,NSW,Agriculture,5734764.66,655705.07,17.48,2.13,2,Revolving Credit,6017634.94,4013866.41,2003768.53,0.6701,5356608.75,Senior Secured,1,PPSR - Receivables,4463588.86,0.8333,2020-02-21,Covenant Breach,0.0692,0.0599,0.0692,Write-off,32,0.576157,3.5,Elevated,2.9,3.6,0.0692,max_contract_vs_cost_of_funds,,,Agriculture,0.03,0.6061570000000001,0.6061570000000001,1.3160119999999997,1.075,1.4147128999999996,1.4147128999999996,macro_plus_industry,v1.0,baseline,0.8575381273252999,0.0324,0.8899381273252999,0.04499333333333334,0.8899381273252999,0.8498968445165103,True,secured_proxy,0.35,0.8899381273252999,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Elevated
20,Commercial,WA,Agriculture,15161544.5,1922865.27,1.48,23.48,13,Term Loan,1956034.81,1893090.91,62943.9,1.0,1956034.81,Senior Secured,1,Property,2147415.88,1.0978,2021-05-03,Covenant Breach,0.0761,0.0572,0.0761,Write-off,30,0.298219,3.5,Elevated,2.9,3.6,0.0761,max_contract_vs_cost_of_funds,,,Agriculture,0.03,0.32821900000000004,0.32821900000000004,1.196,1.075,1.2856999999999998,1.2856999999999998,macro_plus_industry,v1.0,baseline,0.4219911683,0.0324,0.4543911683,0.10622666666666668,0.4543911683,0.4061227091287186,True,secured_proxy,0.35,0.4543911683,commercial,Unknown,Property,Property,NotApplicable,Elevated
21,Commercial,WA,Professional Services,5092767.28,784255.2,3.13,5.43,35,Term Loan,2408308.16,2066427.94,341880.22,1.0,2408308.16,Senior Secured,1,PPSR - Mixed,2301958.99,0.9558,2018-08-20,90 DPD,0.0593,0.0452,0.0593,Receivership,29,0.471352,2.18,Medium,2.3,4.3,0.0593,max_contract_vs_cost_of_funds,,,Professional Services,0.0036000000000000034,0.474952,0.474952,1.259912,0.976,1.2296741119999999,1.2296741119999999,macro_plus_industry,v1.0,baseline,0.5840361788426239,0.029232,0.613268178842624,0.08199333333333333,0.613268178842624,0.5629842766320544,True,secured_proxy,0.35,0.613268178842624,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Low
22,Commercial,ACT,Financial Services,4286929.85,313480.5,24.77,1.6,3,Overdraft,4213752.34,2515716.24,1698036.1,0.8832,4015372.04,Senior Secured,1,PPSR - Receivables,4174954.02,1.0397,2021-06-25,90 DPD,0.0709,0.0466,0.0709,Workout,31,0.475782,2.45,Medium,2.5,4.0,0.0709,max_contract_vs_cost_of_funds,,,Financial Services,0.009000000000000005,0.484782,0.484782,1.2519999999999998,0.9962499999999999,1.2473049999999997,1.2473049999999997,macro_plus_industry,v1.0,baseline,0.6046710125099998,0.02988,0.6345510125099998,0.09043999999999999,0.6345510125099998,0.5771622189385954,True,secured_proxy,0.35,0.6345510125099998,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Low
23,Commercial,VIC,Utilities,13665286.42,3011236.31,6.84,6.15,33,Term Loan,9041718.44,8051654.29,990064.15,1.0,9041718.44,Senior Secured,1,PPSR - Mixed,9324472.7,1.0313,2021-01-27,Covenant Breach,0.0638,0.066,0.066,Workout,29,0.597512,1.9,Low,3.0,3.5,0.066,max_contract_vs_cost_of_funds,,,Utilities,0.0,0.597512,0.597512,1.244,0.9549999999999998,1.1880199999999999,1.1880199999999999,macro_plus_industry,v1.0,baseline,0.70985620624,0.02856,0.73841620624,0.09709333333333334,0.73841620624,0.6667209153888043,True,secured_proxy,0.35,0.73841620624,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Low
24,Commercial,TAS,Accommodation & Food,31969537.31,1823118.85,5.64,8.25,31,Revolving Credit,6324833.59,3221679.66,3103153.93,0.6899,5362463.86,Senior Secured,1,PPSR - Receivables,5253488.59,0.9797,2019-03-09,Covenant Breach,0.0702,0.0479,0.0702,Voluntary Administration,33,0.603433,2.68,Medium,2.7,3.7,0.0702,max_contract_vs_cost_of_funds,,,Accommodation & Food,0.013600000000000003,0.617033,0.617033,1.2673079999999999,1.0135,1.284416658,1.284416658,macro_plus_industry,v1.0,baseline,0.7925274637357141,0.030431999999999997,0.8229594637357142,0.07010666666666665,0.8229594637357142,0.7652645189314157,True,secured_proxy,0.35,0.8229594637357142,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Medium
25,Commercial,VIC,Manufacturing,6883158.49,959409.61,17.1,1.34,27,Overdraft,10971887.5,9528310.34,1443577.17,0.7734,10644783.85,Senior Unsecured,0,PPSR - P&E,10279598.73,0.9657,2018-02-13,90 DPD,0.0581,0.0603,0.0603,Receivership,28,0.726157,3.5,Elevated,3.2,3.1,0.0603,max_contract_vs_cost_of_funds,,,Manufacturing,0.03,0.7561570000000001,0.7561570000000001,1.252348,1.075,1.3462741,1.3462741,macro_plus_industry,v1.0,baseline,1.0179945846337002,0.0324,1.0503945846337002,0.08813999999999998,1.0,0.91186,True,secured_proxy,0.45,1.0,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Elevated
26,Commercial,QLD,Construction,1066691.67,204278.23,113.41,0.21,21,Term Loan,13340439.53,13176724.96,163714.57,1.0,13340439.53,Senior Secured,1,GSR Only,7108358.46,0.5328,2022-07-26,Voluntary Administration,0.0731,0.0643,0.0731,Voluntary Administration,25,0.821673,2.68,Medium,3.3,3.1,0.0731,max_contract_vs_cost_of_funds,,,Construction,0.013600000000000003,0.835273,0.835273,1.3380173333333334,1.0135,1.3560805673333334,1.3560805673333334,macro_plus_industry,v1.0,baseline,1.1326974837182153,0.030431999999999997,1.1631294837182153,0.023625,1.0,0.976375,True,dampened_unsecured_proxy,0.35,1.0,commercial,Unknown,GSR Only,GSR Only,NotApplicable,Medium
27,Commercial,NSW,Arts & Recreation,1833929.72,278502.8,28.55,1.03,39,Overdraft,4344244.2,2563531.39,1780712.81,0.9752,4300036.0,Senior Secured,1,PPSR - Receivables,3847427.26,0.8947,2018-08-09,Covenant Breach,0.0844,0.0599,0.0844,Workout,23,0.642998,3.1,Elevated,2.4,3.3,0.0844,max_contract_vs_cost_of_funds,,,Arts & Recreation,0.022000000000000002,0.664998,0.664998,1.2579079999999998,1.045,1.3145138599999997,1.3145138599999997,macro_plus_industry,v1.0,baseline,0.8741490878722797,0.03144,0.9055890878722798,0.09477333333333332,0.9055890878722798,0.8197633913843309,True,secured_proxy,0.35,0.9055890878722798,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Elevated
28,Commercial,SA,Mining,7762294.24,1487270.63,13.99,1.94,17,Revolving Credit,10944681.42,8378578.42,2566103.0,0.6967,10166382.85,Senior Secured,1,PPSR - Mixed,8820328.02,0.8676,2022-10-30,Voluntary Administration,0.0754,0.0461,0.0754,Workout,22,0.723165,3.5,Elevated,3.5,2.9,0.0754,max_contract_vs_cost_of_funds,,,Mining,0.03,0.753165,0.753165,1.2636640000000001,1.075,1.3584388,1.3584388,macro_plus_industry,v1.0,baseline,1.023128558802,0.0324,1.055528558802,0.09352000000000002,1.0,0.90648,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Elevated
29,Commercial,NSW,Professional Services,6776237.05,1571023.73,15.84,1.7,8,Term Loan,11686060.74,10343417.44,1342643.3,1.0,11686060.74,Senior Secured,0,PPSR - Mixed,8366766.64,0.716,2022-05-02,Covenant Breach,0.0658,0.054,0.0658,Receivership,29,0.863413,2.18,Medium,2.3,4.3,0.0658,max_contract_vs_cost_of_funds,,,Professional Services,0.0036000000000000034,0.867013,0.867013,1.3462399999999999,0.976,1.31393024,1.31393024,macro_plus_industry,v1.0,baseline,1.13919459917312,0.029232,1.16842659917312,0.05083333333333334,1.0,0.9491666666666667,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Low
30,Commercial,NSW,Utilities,909987.16,194397.28,94.25,0.38,31,Term Loan,7731595.08,7180477.24,551117.84,1.0,7731595.08,Senior Secured,0,GSR Only,2270140.04,0.2936,2020-10-02,Receivership,0.0795,0.0464,0.0795,Voluntary Administration,35,0.975496,1.9,Low,3.0,3.5,0.0795,max_contract_vs_cost_of_funds,,,Utilities,0.0,0.975496,0.975496,1.3876666666666664,0.955,1.3252216666666663,1.3252216666666663,macro_plus_industry,v1.0,baseline,1.2927484349466662,0.02856,1.3213084349466662,0.009041666666666667,1.0,0.9909583333333334,True,dampened_unsecured_proxy,0.35,1.0,commercial,Unknown,GSR Only,GSR Only,NotApplicable,Low
31,Commercial,NSW,Wholesale Trade,7574646.85,851175.98,18.78,1.71,5,Overdraft,6981581.05,4870748.16,2110832.89,0.9129,6797657.04,Senior Secured,1,Property,4768483.45,0.7015,2018-04-23,Receivership,0.0798,0.0572,0.0798,Workout,31,0.428976,3.23,Elevated,3.5,2.9,0.0798,max_contract_vs_cost_of_funds,,,Wholesale Trade,0.0246,0.45357600000000003,0.45357600000000003,1.302815833333333,1.05475,1.374145000208333,1.374145000208333,macro_plus_industry,v1.0,baseline,0.6232791926144949,0.031752,0.6550311926144949,0.04250000000000001,0.6550311926144949,0.6271923669283789,True,secured_proxy,0.35,0.6550311926144949,commercial,Unknown,Property,Property,NotApplicable,Elevated
32,Commercial,VIC,Manufacturing,8376878.13,839771.99,16.64,1.14,31,Term Loan,11807325.87,11258131.04,549194.83,1.0,11807325.87,Senior Secured,1,Property,14860909.49,1.2586,2022-06-22,Receivership,0.0662,0.0554,0.0662,Receivership,21,0.006842,3.5,Elevated,3.2,3.1,0.0662,max_contract_vs_cost_of_funds,,,Manufacturing,0.03,0.036842,0.036842,1.1615,1.075,1.2486125,1.2486125,macro_plus_industry,v1.0,baseline,0.046001381725,0.0324,0.35,0.17588666666666664,0.078401381725,0.06461162403132883,True,secured_proxy,0.35,0.35,commercial,Unknown,Property,Property,NotApplicable,Elevated
33,Commercial,VIC,Manufacturing,1709538.23,269535.31,59.32,0.48,21,Term Loan,7350524.18,6280574.46,1069949.72,1.0,7350524.18,Senior Secured,1,PPSR - Receivables,3124904.02,0.4251,2022-02-11,Voluntary Administration,0.0834,0.0513,0.0834,Workout,12,0.865833,3.5,Elevated,3.2,3.1,0.0834,max_contract_vs_cost_of_funds,,,Manufacturing,0.03,0.895833,0.895833,1.38,1.075,1.4834999999999998,1.4834999999999998,macro_plus_industry,v1.0,baseline,1.3289682554999998,0.0324,1.3613682554999997,0.09666666666666668,1.0,0.9033333333333333,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Elevated
34,Commercial,QLD,Mining,18559176.34,994196.93,29.52,1.15,36,Revolving Credit,13667782.2,10684472.78,2983309.41,0.5144,12219158.02,Senior Secured,1,PPSR - P&E,8455932.42,0.692,2019-07-29,Voluntary Administration,0.0672,0.0664,0.0672,Workout,19,0.600716,3.5,Elevated,3.5,2.9,0.0672,max_contract_vs_cost_of_funds,,,Mining,0.03,0.630716,0.630716,1.31488,1.075,1.413496,1.413496,macro_plus_industry,v1.0,baseline,0.8915145431360001,0.0324,0.9239145431360001,0.09250000000000001,0.9239145431360001,0.83845244789592,True,secured_proxy,0.35,0.9239145431360001,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Elevated
35,Commercial,ACT,Utilities,5763629.01,882519.68,14.66,1.56,27,Term Loan,9661359.04,9378144.79,283214.25,1.0,9661359.04,Senior Unsecured,1,Property,13216599.65,1.368,2018-09-04,90 DPD,0.0733,0.0537,0.0733,Workout,17,0.0,1.9,Low,3.0,3.5,0.0733,max_contract_vs_cost_of_funds,,,Utilities,0.0,0.0,0.0,1.15,0.9550000000000001,1.09825,1.09825,macro_plus_industry,v1.0,baseline,0.0,0.02856,0.45,0.21026666666666669,0.02856,0.022554783999999998,True,secured_proxy,0.45,0.45,commercial,Unknown,Property,Property,NotApplicable,Low
36,Commercial,SA,Financial Services,7849781.89,418877.52,46.36,0.47,25,Term Loan,14041128.96,12174750.19,1866378.77,1.0,14041128.96,Senior Secured,1,PPSR - P&E,12015378.34,0.8557,2019-05-30,Covenant Breach,0.0747,0.0534,0.0747,Receivership,31,0.678758,2.45,Medium,2.5,4.0,0.0747,max_contract_vs_cost_of_funds,,,Financial Services,0.009000000000000005,0.687758,0.687758,1.3039479999999999,0.9962499999999999,1.2990581949999997,1.2990581949999997,macro_plus_industry,v1.0,baseline,0.8934376660768099,0.02988,0.9233176660768099,0.05363999999999999,0.9233176660768099,0.8737909064684498,True,secured_proxy,0.35,0.9233176660768099,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Low
