loan_id,product,state,property_type,occupancy,loan_type,mortgage_class,property_value_orig,original_ltv,original_principal,credit_score,dti,seasoning_months,default_date,property_value_at_default,ead,ltv_at_default,lmi_flag,lmi_eligible,contract_rate_proxy,cost_of_funds_proxy,discount_rate,house_price_decline,unemployment_shock,rate_shock,resolution_type,workout_months,realised_lgd,discount_rate_proxy_used,discount_rate_source,arrears_stage_proxy,proxy_arrears_flag,repayment_behaviour_proxy,proxy_behaviour_flag,borrower_type_proxy,cure_rate_proxy,liquidation_loss_proxy,lgd_cure_proxy,foreclosure_channel_flag,cure_overlay_applied_flag,cure_overlay_source,lgd_base,downturn_scalar,house_price_driver,house_price_source,unemployment_driver,unemployment_source,unemployment_year_bucket,rate_shock_driver,rate_shock_source,macro_downturn_scalar,industry_downturn_adjustment,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,lgd_with_moc,lgd_after_lmi,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band,capital_K,rwa,rwa_after_apra_scalar
22,Mortgage,NSW,House,Owner-Occupier,Interest-Only,Non-Standard,1554361.59,0.5605,871213.16,647,0.5047,27,2018-07-02,1892741.87,842760.48,0.4453,0,0,0.0465,0.0409,0.0465,0.0,0.01,0.0,Property Sale,18,0.0,0.0465,max_contract_vs_cost_of_funds,90+,True,stable,True,owner_occupier,0.221436,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.0,0.02,0.02,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,378289.39,416118.33
23,Mortgage,NSW,Townhouse,Investor,P&I,Non-Standard,2364168.29,0.6347,1500603.85,689,0.4774,75,2018-01-10,6620756.72,1202244.37,0.1816,0,0,0.0502,0.0439,0.0502,0.0,0.01,0.0,Cure,6,0.019048,0.0502,max_contract_vs_cost_of_funds,60-89,True,stable,True,investor,0.26471199999999995,0.025905495533722837,0.019048,0,True,mortgage_proxy_two_stage,0.019048,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.02081870208,0.040818702080000005,0.040818702080000005,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,539650.71,593615.79
24,Mortgage,VIC,Unit,Investor,P&I,Standard,462354.44,0.6614,305811.39,710,0.4196,41,2022-05-10,376517.05,272771.54,0.7245,0,0,0.0397,0.0468,0.0468,0.1857,0.015,0.0071,Property Sale,11,0.0,0.0468,max_contract_vs_cost_of_funds,30-59,True,strong,True,investor,0.41164799999999996,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.1919312,0.1857,observed_house_price_decline,0.015,observed_unemployment_shock,normalising_2022_2023,0.0071,observed_rate_shock,1.1919312,1.0,1.1919312,macro_only,v1.0,baseline,0.0,0.02,0.02,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,81625.87,89788.45
25,Mortgage,VIC,Unit,Investor,P&I,Non-Standard,1250405.64,0.862,1077845.59,747,0.4626,50,2022-03-03,1630348.11,941828.76,0.5777,1,0,0.0551,0.0375,0.0551,0.0,0.015,0.0,Cure,4,0.017975,0.0551,max_contract_vs_cost_of_funds,60-89,True,strong,True,investor,0.32648799999999994,0.026688462863319433,0.017975,0,True,mortgage_proxy_two_stage,0.017975,1.0994400000000002,0.0,observed_house_price_decline,0.015,observed_unemployment_shock,normalising_2022_2023,0.0,observed_rate_shock,1.0994400000000002,1.0,1.0994400000000002,macro_only,v1.0,baseline,0.019762434000000006,0.039762434000000006,0.039762434000000006,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,422758.11,465033.93
26,Mortgage,WA,House,Owner-Occupier,P&I,Standard,909339.25,0.6254,568738.91,766,0.2532,41,2020-09-01,920850.96,513047.33,0.5571,0,0,0.0592,0.0435,0.0592,0.0,0.03,0.0,Property Sale,15,0.0,0.0592,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.45999999999999996,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.11888,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.11888,1.0,1.11888,macro_only,v1.0,baseline,0.0,0.02,0.02,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,153527.5,168880.25
27,Mortgage,NSW,House,Investor,P&I,Standard,1921265.07,0.5948,1142801.58,658,0.3604,27,2021-03-07,2352506.63,1075508.94,0.4572,0,0,0.0417,0.0316,0.0417,0.0,0.03,0.0,Cure,3,0.009346,0.0417,max_contract_vs_cost_of_funds,30-59,True,strong,True,investor,0.41875199999999996,0.016079195111208984,0.009346,0,True,mortgage_proxy_two_stage,0.009346,1.11888,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.11888,1.0,1.11888,macro_only,v1.0,baseline,0.010457052480000001,0.030457052480000003,0.030457052480000003,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,321842.04,354026.24
28,Mortgage,VIC,House,Investor,P&I,Non-Standard,2459788.74,0.9309,2289698.31,600,0.3229,83,2020-09-12,8737913.09,1787149.33,0.2045,1,1,0.0474,0.0504,0.0504,0.0,0.03,0.003,Cure,4,0.017296,0.0504,max_contract_vs_cost_of_funds,60-89,True,strong,True,investor,0.33999999999999997,0.026206060606060604,0.017296,0,True,mortgage_proxy_two_stage,0.017296,1.124064,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.003,observed_rate_shock,1.124064,1.0,1.124064,macro_only,v1.0,baseline,0.019441810943999997,0.039441810944,0.0315534487552,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,802196.66,882416.32
29,Mortgage,QLD,House,Owner-Occupier,Interest-Only,Standard,901539.63,0.504,454365.59,655,0.2328,85,2018-02-26,846587.28,392387.49,0.4635,0,0,0.0372,0.0372,0.0372,0.061,0.01,0.0,Cure,3,0.010992,0.0372,max_contract_vs_cost_of_funds,30-59,True,stable,True,owner_occupier,0.39999999999999997,0.018319999999999996,0.010992,0,True,mortgage_proxy_two_stage,0.010992,1.119312,0.061,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.119312,1.0,1.119312,macro_only,v1.0,baseline,0.012303477504000002,0.032303477504000006,0.032303477504000006,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,117420.49,129162.54
30,Mortgage,NSW,Unit,Investor,P&I,Non-Standard,1756475.39,0.949,1666929.2,695,0.3701,66,2020-03-06,588164.86,1370427.27,2.33,1,0,0.049,0.0455,0.049,0.4,0.03,0.0,Property Sale,15,0.6926,0.049,max_contract_vs_cost_of_funds,90+,True,stable,True,investor,0.09758800000000001,0.7674986591490361,0.6926,1,True,mortgage_proxy_two_stage,0.6926,1.2916800000000004,0.4,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.2916800000000004,1.0,1.2916800000000004,macro_only,v1.0,baseline,0.8946175680000003,0.9146175680000003,0.9146175680000003,0.9146175680000003,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.218957,3750803.19,4125883.51
31,Mortgage,QLD,Unit,Owner-Occupier,P&I,Non-Standard,775909.91,0.8046,624273.51,622,0.5223,105,2019-02-25,1922565.88,444731.77,0.2313,1,1,0.0476,0.0285,0.0476,0.0,0.01,0.0,Cure,4,0.014281,0.0476,max_contract_vs_cost_of_funds,90+,True,stable,True,owner_occupier,0.219324,0.018293120321362513,0.014281000000000002,0,True,mortgage_proxy_two_stage,0.014281000000000002,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.015608561760000004,0.035608561760000004,0.028486849408000003,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,199626.48,219589.13
32,Mortgage,NSW,Townhouse,Owner-Occupier,P&I,Standard,1565460.05,0.8728,1366351.04,622,0.214,61,2018-08-22,1025048.24,1144887.53,1.1169,1,1,0.0386,0.0329,0.0386,0.3452,0.01,0.0,Property Sale,8,0.137053,0.0386,max_contract_vs_cost_of_funds,90+,True,stable,True,owner_occupier,0.17662,0.1664516990939785,0.137053,1,True,mortgage_proxy_two_stage,0.137053,1.2420864,0.3452,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.2420864,1.0,1.2420864,macro_only,v1.0,baseline,0.1702316673792,0.1902316673792,0.15218533390336,0.15218533390336,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.036433,521392.01,573531.21
33,Mortgage,NSW,Townhouse,Owner-Occupier,Interest-Only,Standard,1347454.85,0.6326,852371.27,700,0.302,94,2024-03-19,1377574.25,729612.49,0.5296,0,0,0.0461,0.0397,0.0461,0.0,0.01,0.0,Cure,3,0.009587,0.0461,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.45999999999999996,0.017753703703703702,0.009587,0,True,mortgage_proxy_two_stage,0.009587,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.010478207520000001,0.03047820752,0.03047820752,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,218333.82,240167.2
34,Mortgage,TAS,Unit,Owner-Occupier,P&I,Standard,2439811.46,0.5064,1235622.69,677,0.2726,101,2021-11-22,6073358.14,896874.28,0.1477,0,0,0.0434,0.0491,0.0491,0.0,0.03,0.0057,Cure,6,0.019526,0.0491,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.45999999999999996,0.03615925925925926,0.019526,0,True,mortgage_proxy_two_stage,0.019526,1.1287296000000002,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0057,observed_rate_shock,1.1287296000000002,1.0,1.1287296000000002,macro_only,v1.0,baseline,0.022039574169600007,0.04203957416960001,0.04203957416960001,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,268386.28,295224.91
